"game_id","season","starting_wp_favored","home_final","away_final","max_wp_loser"
401224790,2020,0.533,96,134,0.652
401224792,2020,0.669,107,103,0.878
401224791,2020,0.542,109,92,0.543
401224793,2020,0.586,117,109,0.68
401224784,2020,0.536,87,85,1
401224787,2020,0.504,133,127,0.54
401224789,2020,0.602,118,112,0.429
401224786,2020,0.832,119,106,0.832
401224788,2020,0.663,128,102,0.695
401224785,2020,0.752,122,136,0.886
401224783,2020,0.822,90,96,0.854
401224782,2020,0.599,111,124,0.733
401224781,2020,0.529,116,115,0.998
401224780,2020,0.577,121,125,0.969
401224779,2020,0.564,104,108,0.868
401224777,2020,0.552,112,106,0.736
401224778,2020,0.899,113,126,0.147
401224775,2020,0.647,131,134,0.857
401224776,2020,0.725,107,122,0.322
401224774,2020,0.604,117,130,0.809
401224773,2020,0.648,123,105,0.752
401224772,2020,0.512,96,108,0.682
401224771,2020,0.616,124,121,0.859
401224770,2020,0.529,114,92,0.602
401224769,2020,0.63,106,114,0.723
401224768,2020,0.544,114,122,0.974
401224767,2020,0.605,128,101,0.887
401224766,2020,0.731,120,129,0.731
401224765,2020,0.67,112,129,0.743
401224764,2020,0.583,124,121,0.842
401224763,2020,0.695,122,119,0.932
401224762,2020,0.514,113,122,0.509
401224761,2020,0.706,108,99,0.543
401224760,2020,0.729,121,103,0.271
401224759,2020,0.66,136,132,0.966
401224758,2020,0.635,112,119,0.831
401224757,2020,0.657,116,111,0.794
401224755,2020,0.701,117,122,0.891
401224754,2020,0.515,100,122,0.506
401224753,2020,0.653,118,107,0.77
401224752,2020,0.604,108,101,0.75
401224751,2020,0.519,119,106,0.65
401224750,2020,0.644,121,92,0.928
401224749,2020,0.606,119,111,0.65
401224748,2020,0.602,113,96,0.637
401224747,2020,0.597,115,125,0.781
401224746,2020,0.541,111,126,0.624
401224744,2020,0.699,130,116,0.944
401224745,2020,0.603,114,99,0.664
401224743,2020,0.555,140,125,0.584
401224742,2020,0.681,149,115,0.419
401224741,2020,0.661,99,109,0.349
401224740,2020,0.669,86,105,0.669
401224738,2020,0.739,98,107,0.668
401224739,2020,0.616,126,132,0.78
401224737,2020,0.677,124,115,0.798
401224736,2020,0.649,110,102,0.649
401224735,2020,0.574,112,106,0.592
401224734,2020,0.572,120,109,0.428
401224733,2020,0.744,115,117,0.832
401224732,2020,0.693,110,114,0.882
401224731,2020,0.822,114,115,0.89
401224730,2020,0.62,108,116,0.687
401224729,2020,0.609,132,130,0.879
401224728,2020,0.616,109,99,0.55
401224726,2020,0.543,113,119,0.913
401224727,2020,0.728,100,111,0.553
401224725,2020,0.59,103,107,0.668
401224724,2020,0.716,117,115,0.944
401224723,2020,0.697,120,116,0.941
401224722,2020,0.531,132,110,0.469
401224721,2020,0.543,106,108,0.532
401224720,2020,0.669,128,124,0.737
401224719,2020,0.641,118,110,0.724
401224718,2020,0.553,107,92,0.771
401224717,2020,0.543,127,121,0.909
401224716,2020,0.717,126,103,0.3
401224715,2020,0.547,110,94,0.566
401224714,2020,0.517,105,125,0.748
401224713,2020,0.551,149,153,0.969
401224692,2020,0.54,129,120,0.707
401224691,2020,0.649,119,112,0.546
401224689,2020,0.56,140,135,0.95
401224690,2020,0.615,112,125,0.505
401224688,2020,0.512,118,128,0.671
401224687,2020,0.634,103,101,0.825
401224686,2020,0.532,104,106,0.905
401161615,2020,0.623,113,97,0.738
401161611,2020,0.657,131,136,0.657
401161612,2020,0.878,98,105,0.984
401161613,2020,0.798,124,106,0.363
401161609,2020,0.777,107,131,0.274
401161610,2020,0.842,102,104,0.934
401161608,2020,0.675,121,105,0.515
401161604,2020,0.723,108,103,0.555
401161605,2020,0.829,117,111,0.74
401161606,2020,0.588,115,120,0.925
401161607,2020,0.573,119,109,0.894
401161602,2020,0.521,111,114,0.841
401161603,2020,0.675,122,115,0.951
401161600,2020,0.587,109,95,0.657
401161601,2020,0.612,92,101,0.771
401161599,2020,0.653,143,138,0.929
401161598,2020,0.65,113,118,0.639
401161596,2020,0.66,132,129,0.838
401161597,2020,0.511,96,84,0.697
401161593,2020,0.671,89,100,0.895
401161594,2020,0.703,109,112,0.913
401161595,2020,0.727,106,126,0.771
401161591,2020,0.708,104,105,0.96
401161592,2020,0.789,140,131,0.789
401161589,2020,0.513,107,120,0.515
401161590,2020,0.605,103,112,0.826
401161588,2020,0.698,110,107,0.537
401161587,2020,0.612,111,123,0.676
401161586,2020,0.682,118,114,0.911
401161585,2020,0.758,118,101,0.323
401161584,2020,0.741,104,102,0.904
401161583,2020,0.564,105,111,0.507
401161582,2020,0.795,108,99,0.795
401161581,2020,0.523,100,94,0.768
401161580,2020,0.56,127,117,0.44
401161579,2020,0.809,121,96,0.392
401161575,2020,0.662,94,99,0.87
401161576,2020,0.568,102,108,0.619
401161577,2020,0.516,118,132,0.563
401161578,2020,0.514,110,104,0.593
401161573,2020,0.55,137,118,0.45
401161574,2020,0.686,103,126,0.466
401161572,2020,0.604,118,112,0.547
401161571,2020,0.76,113,121,0.524
401161570,2020,0.546,108,125,0.475
401161569,2020,0.57,105,120,0.614
401161568,2020,0.758,112,114,0.834
401161567,2020,0.778,119,98,0.289
401161565,2020,0.785,127,123,0.694
401161564,2020,0.598,115,108,0.772
401161561,2020,0.722,116,113,0.598
401161562,2020,0.634,79,118,0.78
401161563,2020,0.739,104,112,0.277
401161559,2020,0.795,106,112,0.556
401161560,2020,0.5,90,100,0.62
401161566,2020,0.848,119,100,0.328
401161557,2020,0.728,120,107,0.741
401161558,2020,0.703,133,126,0.468
401161555,2020,0.87,100,116,0.96
401161556,2020,0.611,114,123,0.879
401161553,2020,0.699,134,139,0.886
401161554,2020,0.512,94,109,0.541
401161552,2020,0.793,120,129,0.994
401161551,2020,0.619,103,104,0.854
401161550,2020,0.528,111,116,0.79
401161549,2020,0.676,109,107,0.879
401161547,2020,0.508,88,127,0.713
401161548,2020,0.63,98,84,0.703
401161544,2020,0.788,113,126,0.512
401161545,2020,0.787,125,123,0.886
401161546,2020,0.596,107,130,0.748
401161543,2020,0.552,110,124,0.581
401161542,2020,0.623,114,122,0.838
401161540,2020,0.576,133,118,0.444
401161541,2020,0.652,106,100,0.891
401161538,2020,0.679,91,111,0.321
401161539,2020,0.67,136,130,0.705
401161537,2020,0.91,85,93,0.392
401161534,2020,0.651,110,111,0.931
401161535,2020,0.676,114,113,0.84
401161532,2020,0.736,104,113,0.662
401161531,2020,0.721,116,113,0.486
401161529,2020,0.558,125,115,0.646
401161526,2020,0.632,111,113,0.768
401161527,2020,0.855,129,119,0.527
401161522,2020,0.516,126,118,0.757
