"game_id","season","starting_wp_favored","home_final","away_final","max_wp_loser","bin_idx","bin_center","bin_label"
400975974,2018,0.725,100,115,0.779,6,0.75,"p0=0.75"
400975975,2018,0.591,102,93,0.484,3,0.6,"p0=0.60"
400975976,2018,0.831,96,83,0.872,8,0.85,"p0=0.85"
400975965,2018,0.814,110,97,0.319,7,0.8,"p0=0.80"
400975966,2018,0.76,98,110,0.86,6,0.75,"p0=0.75"
400975967,2018,0.64,116,109,0.92,4,0.65,"p0=0.65"
400975968,2018,0.58,101,92,0.664,3,0.6,"p0=0.60"
400975969,2018,0.697,130,95,0.303,5,0.7,"p0=0.70"
400975970,2018,0.585,87,119,0.528,3,0.6,"p0=0.60"
400975971,2018,0.643,112,106,0.642,4,0.65,"p0=0.65"
400975972,2018,0.515,122,98,0.538,1,0.5,"p0=0.50"
400975973,2018,0.859,137,123,0.296,8,0.85,"p0=0.85"
400975964,2018,0.772,99,105,0.604,6,0.75,"p0=0.75"
400975963,2018,0.504,119,79,0.516,1,0.5,"p0=0.50"
400975962,2018,0.79,97,124,0.899,7,0.8,"p0=0.80"
400975961,2018,0.56,113,101,0.756,2,0.55,"p0=0.55"
400975960,2018,0.69,113,121,0.525,5,0.7,"p0=0.70"
400975959,2018,0.641,93,119,0.755,4,0.65,"p0=0.65"
400975958,2018,0.61,100,113,0.678,3,0.6,"p0=0.60"
400975957,2018,0.592,88,82,0.846,3,0.6,"p0=0.60"
400975956,2018,0.854,29,38,1,8,0.85,"p0=0.85"
400975954,2018,0.78,102,86,0.654,7,0.8,"p0=0.80"
400975955,2018,0.861,113,94,0.485,8,0.85,"p0=0.85"
400975951,2018,0.703,114,105,0.378,5,0.7,"p0=0.70"
400975952,2018,0.509,93,115,0.891,1,0.5,"p0=0.50"
400975953,2018,0.584,109,123,0.522,3,0.6,"p0=0.60"
400975950,2018,0.653,98,108,0.881,4,0.65,"p0=0.65"
400975949,2018,0.863,100,117,0.181,8,0.85,"p0=0.85"
400975946,2018,0.902,112,101,0.178,9,0.9,"p0=0.90"
400975947,2018,0.603,97,112,0.397,3,0.6,"p0=0.60"
400975945,2018,0.569,130,117,0.608,2,0.55,"p0=0.55"
400975943,2018,0.563,117,123,0.671,2,0.55,"p0=0.55"
400975944,2018,0.783,109,97,0.322,7,0.8,"p0=0.80"
400975948,2018,0.874,106,112,0.976,8,0.85,"p0=0.85"
400975942,2018,0.672,116,105,0.582,4,0.65,"p0=0.65"
400975940,2018,0.713,102,108,0.808,5,0.7,"p0=0.70"
400975941,2018,0.814,120,126,0.864,7,0.8,"p0=0.80"
400975939,2018,0.503,96,124,0.579,1,0.5,"p0=0.50"
400975938,2018,0.535,102,115,0.7,2,0.55,"p0=0.55"
400975937,2018,0.621,115,134,0.667,3,0.6,"p0=0.60"
400975936,2018,0.514,96,113,0.834,1,0.5,"p0=0.50"
400975935,2018,0.696,103,122,0.353,5,0.7,"p0=0.70"
400975934,2018,0.613,93,94,0.809,3,0.6,"p0=0.60"
400975931,2018,0.874,111,104,0.578,8,0.85,"p0=0.85"
400975932,2018,0.515,122,98,0.562,1,0.5,"p0=0.50"
400975933,2018,0.809,92,73,0.226,7,0.8,"p0=0.80"
400975927,2018,0.665,113,106,0.713,4,0.65,"p0=0.65"
