league,season,game_id,game_date,home_team,away_team,home_team_abbr,away_team_abbr,schedule_status,is_completed,is_eligible,raw_available,analyzed
nba,2018,401001760,2018-02-18,Team Stephen,Team LeBron,STE,LEB,STATUS_FINAL,TRUE,TRUE,TRUE,TRUE
nba,2018,401018033,2018-02-16,USA,World,USA,WORLD,STATUS_FINAL,TRUE,TRUE,TRUE,TRUE
nba,2019,401098037,2019-02-17,Team Giannis,Team LeBron,GIA,LEB,STATUS_FINAL,TRUE,TRUE,TRUE,TRUE
nba,2019,401098038,2019-02-15,USA,World,USA,WORLD,STATUS_FINAL,TRUE,TRUE,TRUE,TRUE
nba,2020,401197813,2020-02-16,Team Giannis,Team LeBron,GIA,LEB,STATUS_FINAL,TRUE,TRUE,FALSE,FALSE
nba,2020,401197814,2020-02-14,USA,World,USA,WORLD,STATUS_FINAL,TRUE,TRUE,TRUE,TRUE
nba,2021,401306581,2021-03-07,Team Durant,Team LeBron,DUR,LEB,STATUS_FINAL,TRUE,TRUE,FALSE,FALSE
nba,2022,401410564,2022-02-20,Team LeBron,Team Durant,LEB,DUR,STATUS_FINAL,TRUE,TRUE,FALSE,FALSE
nba,2023,401524696,2023-02-19,Team LeBron,Team Giannis,LEB,GIA,STATUS_FINAL,TRUE,TRUE,FALSE,FALSE
nba,2024,401623259,2024-02-18,Eastern Conf All-Stars,Western Conf All-Stars,EAST,WEST,STATUS_FINAL,TRUE,TRUE,FALSE,FALSE
