"game_id","season","starting_wp_favored","home_final","away_final","max_wp_loser"
"401220114",2021,0.698,56,26,0.533
"401220132",2021,0.732,28,14,0.712
"401220154",2021,0.742,3,38,0.288
"401220164",2021,0.556,24,22,0.606
"401220180",2021,0.583,38,41,0.86
"401220187",2021,0.854,28,14,0.246
"401220211",2021,0.536,31,32,0.955
"401220220",2021,0.657,21,38,0.823
"401220250",2021,0.597,23,19,0.626
"401220260",2021,0.605,14,20,0.684
"401220275",2021,0.66,16,35,0.603
"401220284",2021,0.684,35,37,0.62
"401220315",2021,0.729,7,33,0.426
"401220328",2021,0.744,44,27,0.397
"401220344",2021,0.557,18,7,0.729
"401220354",2021,0.603,23,26,0.888
"401326127",2021,0.5617,30,29,0.9028
"401326128",2021,0.6033,26,7,0.6812
"401326129",2021,0.5444,20,17,0.4815
"401326130",2021,0.798,31,21,0.5808
"401326131",2021,0.5579,24,27,0.767
"401326132",2021,0.6306,13,23,0.6309
"401326308",2021,0.68,16,23,0.8937
"401326309",2021,0.6588,19,14,0.4147
"401326310",2021,0.521,37,21,0.5634
"401326311",2021,0.6372,13,38,0.6372
"401326312",2021,0.5946,16,20,0.7754
"401326313",2021,0.6009,16,17,0.7073
"401326314",2021,0.6777,33,29,0.8685
"401326315",2021,0.6336,6,32,0.7227
"401326316",2021,0.5296,27,24,0.7962
"401326317",2021,0.6167,33,41,0.4609
"401326318",2021,0.5287,16,28,0.6212
"401326319",2021,0.553,38,3,0.5718
"401326320",2021,0.5318,13,27,0.6831
"401326321",2021,0.5733,33,27,0.9425
"401326322",2021,0.7008,31,29,0.8342
"401326323",2021,0.7129,34,14,0.3902
"401326324",2021,0.5701,27,20,0.4699
"401326325",2021,0.6113,23,20,0.8566
"401326353",2021,0.5043,0,35,0.4957
"401326354",2021,0.6516,6,25,0.4141
"401326355",2021,0.53,11,17,0.7468
"401326356",2021,0.6482,17,26,0.6633
"401326357",2021,0.6145,34,33,0.8477
"401326358",2021,0.7859,48,25,0.3284
"401326359",2021,0.5034,17,20,0.6716
"401326360",2021,0.7087,30,33,0.9585
"401326361",2021,0.5601,36,35,0.9156
"401326362",2021,0.6746,35,17,0.6074
"401326363",2021,0.6255,9,24,0.4969
"401326364",2021,0.7171,43,21,0.3246
"401326365",2021,0.7177,26,6,0.4452
"401326366",2021,0.7152,17,19,0.999
"401326367",2021,0.6597,19,31,0.7863
"401326368",2021,0.7293,24,30,0.7885
"401326369",2021,0.5862,13,28,0.6858
"401326370",2021,0.6353,14,17,0.8296
"401326371",2021,0.6325,10,24,0.6327
"401326372",2021,0.5587,25,16,0.5384
"401326373",2021,0.7703,26,0,0.261
"401326374",2021,0.6282,31,28,0.811
"401326375",2021,0.5558,34,24,0.5229
"401326376",2021,0.5028,30,17,0.753
"401326377",2021,0.6167,28,30,0.911
"401326378",2021,0.6746,41,21,0.3943
"401326379",2021,0.6929,24,21,0.888
"401326380",2021,0.5188,30,34,0.882
"401326381",2021,0.8627,40,0,0.2269
"401326382",2021,0.5623,24,14,0.5153
"401326383",2021,0.5794,36,28,0.5914
"401326384",2021,0.5388,17,27,0.6949
"401326385",2021,0.5153,7,14,0.7277
"401326386",2021,0.7403,21,27,0.999
"401326387",2021,0.6546,27,24,0.8485
"401326388",2021,0.6725,30,42,0.4972
"401326389",2021,0.6106,20,37,0.7587
"401326390",2021,0.5649,21,28,0.8226
"401326391",2021,0.5488,7,23,0.6941
"401326392",2021,0.6143,27,17,0.5643
"401326393",2021,0.5672,17,19,0.6588
"401326394",2021,0.6014,28,14,0.4168
"401326395",2021,0.5005,17,26,0.7628
"401326396",2021,0.6484,18,21,0.9156
"401326397",2021,0.5374,22,25,0.8028
"401326398",2021,0.6925,22,25,0.8914
"401326399",2021,0.6137,19,37,0.4287
"401326400",2021,0.7376,19,17,0.842
"401326401",2021,0.5101,27,19,0.5422
"401326402",2021,0.7508,45,17,0.3717
