"game_id","season","starting_wp_favored","home_final","away_final","max_wp_loser","bin_idx","bin_center","bin_label"
401030690,2018,0.56,34,23,0.583,2,0.55,"p0=0.55"
401030691,2018,0.653,31,24,0.628,4,0.65,"p0=0.65"
401030692,2018,0.503,13,34,0.51,1,0.5,"p0=0.50"
401030693,2018,0.697,9,21,0.71,5,0.7,"p0=0.70"
401030694,2018,0.506,20,17,0.651,1,0.5,"p0=0.50"
401030695,2018,0.651,34,29,0.576,4,0.65,"p0=0.65"
401030696,2018,0.597,27,21,0.597,3,0.6,"p0=0.60"
401030697,2018,0.768,38,24,0.243,6,0.75,"p0=0.75"
401030698,2018,0.647,37,42,0.648,4,0.65,"p0=0.65"
401030699,2018,0.626,18,24,0.625,4,0.65,"p0=0.65"
401030700,2018,0.622,12,20,0.712,3,0.6,"p0=0.60"
401030701,2018,0.557,23,17,0.488,2,0.55,"p0=0.55"
401030702,2018,0.571,13,12,0.613,2,0.55,"p0=0.55"
401030703,2018,0.752,42,23,0.419,6,0.75,"p0=0.75"
401030704,2018,0.708,20,31,0.343,5,0.7,"p0=0.70"
401030706,2018,0.659,3,27,0.369,4,0.65,"p0=0.65"
401030707,2018,0.785,30,23,0.474,7,0.8,"p0=0.80"
401030708,2018,0.745,21,18,0.914,6,0.75,"p0=0.75"
401030709,2018,0.586,41,17,0.438,3,0.6,"p0=0.60"
401030710,2018,0.588,18,12,0.756,3,0.6,"p0=0.60"
401030711,2018,0.838,47,3,0.187,8,0.85,"p0=0.85"
401030712,2018,0.511,15,20,0.608,1,0.5,"p0=0.50"
401030713,2018,0.82,40,48,0.885,7,0.8,"p0=0.80"
401030714,2018,0.728,27,20,0.322,6,0.75,"p0=0.75"
401030715,2018,0.698,24,16,0.357,5,0.7,"p0=0.70"
401030716,2018,0.506,27,20,0.709,1,0.5,"p0=0.50"
401030717,2018,0.616,23,34,0.936,3,0.6,"p0=0.60"
401030719,2018,0.791,26,24,0.46,7,0.8,"p0=0.80"
401030720,2018,0.625,28,38,0.644,4,0.65,"p0=0.65"
401030721,2018,0.548,27,24,0.726,2,0.55,"p0=0.55"
401030722,2018,0.675,42,17,0.488,5,0.7,"p0=0.70"
401030723,2018,0.601,16,8,0.444,3,0.6,"p0=0.60"
401030724,2018,0.635,30,9,0.441,4,0.65,"p0=0.65"
401030725,2018,0.575,6,24,0.643,2,0.55,"p0=0.55"
401030726,2018,0.732,24,23,0.982,6,0.75,"p0=0.75"
401030727,2018,0.574,0,24,0.53,2,0.55,"p0=0.55"
401030728,2018,0.718,17,48,0.862,5,0.7,"p0=0.70"
401030729,2018,0.662,52,21,0.498,4,0.65,"p0=0.65"
401030730,2018,0.745,30,27,0.423,6,0.75,"p0=0.75"
401030731,2018,0.88,33,18,0.408,9,0.9,"p0=0.90"
401030732,2018,0.856,34,0,0.257,8,0.85,"p0=0.85"
401030733,2018,0.505,31,20,0.532,1,0.5,"p0=0.50"
401030734,2018,0.59,34,16,0.703,3,0.6,"p0=0.60"
401030735,2018,0.584,13,20,0.629,3,0.6,"p0=0.60"
401030736,2018,0.637,20,19,0.953,4,0.65,"p0=0.65"
401030737,2018,0.511,42,34,0.735,1,0.5,"p0=0.50"
401030738,2018,0.714,20,13,0.286,5,0.7,"p0=0.70"
401030739,2018,0.573,24,17,0.47,2,0.55,"p0=0.55"
401030740,2018,0.579,14,28,0.652,3,0.6,"p0=0.60"
401030741,2018,0.591,30,14,0.429,3,0.6,"p0=0.60"
401030742,2018,0.846,27,17,0.283,8,0.85,"p0=0.85"
401030743,2018,0.53,21,28,0.746,2,0.55,"p0=0.55"
401030744,2018,0.65,37,34,0.498,4,0.65,"p0=0.65"
401030745,2018,0.503,31,23,0.545,1,0.5,"p0=0.50"
401030746,2018,0.599,14,38,0.425,3,0.6,"p0=0.60"
401030747,2018,0.763,24,10,0.308,6,0.75,"p0=0.75"
401030748,2018,0.78,20,13,0.819,7,0.8,"p0=0.80"
401030749,2018,0.503,28,42,0.833,1,0.5,"p0=0.50"
401030750,2018,0.677,23,27,0.895,5,0.7,"p0=0.70"
401030751,2018,0.571,13,33,0.666,2,0.55,"p0=0.55"
401030752,2018,0.529,14,51,0.487,2,0.55,"p0=0.55"
401030753,2018,0.537,16,40,0.608,2,0.55,"p0=0.55"
401030754,2018,0.676,28,16,0.734,5,0.7,"p0=0.70"
401030755,2018,0.573,17,33,0.473,2,0.55,"p0=0.55"
401030756,2018,0.82,31,12,0.272,7,0.8,"p0=0.80"
401030757,2018,0.807,0,31,0.84,7,0.8,"p0=0.80"
401030758,2018,0.742,14,28,0.862,6,0.75,"p0=0.75"
401030759,2018,0.746,20,3,0.41,6,0.75,"p0=0.75"
401030760,2018,0.918,35,3,0.095,9,0.9,"p0=0.90"
401030761,2018,0.757,34,33,0.999,6,0.75,"p0=0.75"
401030762,2018,0.742,34,17,0.508,6,0.75,"p0=0.75"
401030763,2018,0.578,10,24,0.584,3,0.6,"p0=0.60"
401030764,2018,0.772,27,24,0.939,6,0.75,"p0=0.75"
401030765,2018,0.889,38,3,0.142,9,0.9,"p0=0.90"
401030766,2018,0.68,29,26,0.441,5,0.7,"p0=0.70"
401030767,2018,0.621,34,3,0.499,3,0.6,"p0=0.60"
401030768,2018,0.873,14,33,0.889,8,0.85,"p0=0.85"
401030769,2018,0.797,9,41,0.295,7,0.8,"p0=0.80"
401030770,2018,0.721,12,9,0.852,5,0.7,"p0=0.70"
401030771,2018,0.64,31,28,0.948,4,0.65,"p0=0.65"
401030772,2018,0.554,18,15,0.976,2,0.55,"p0=0.55"
401030773,2018,0.77,20,23,0.388,6,0.75,"p0=0.75"
401030774,2018,0.568,0,21,0.476,2,0.55,"p0=0.55"
401030775,2018,0.607,21,17,0.916,3,0.6,"p0=0.60"
401030776,2018,0.562,40,7,0.444,2,0.55,"p0=0.55"
401030777,2018,0.641,37,43,0.905,4,0.65,"p0=0.65"
401030778,2018,0.735,33,31,0.849,6,0.75,"p0=0.75"
401030779,2018,0.668,43,40,0.636,4,0.65,"p0=0.65"
401030780,2018,0.798,29,27,0.672,7,0.8,"p0=0.80"
401030781,2018,0.519,31,17,0.481,1,0.5,"p0=0.50"
401030782,2018,0.73,20,16,0.742,6,0.75,"p0=0.75"
401030783,2018,0.78,33,30,0.898,7,0.8,"p0=0.80"
401030784,2018,0.907,6,27,0.91,9,0.9,"p0=0.90"
401030785,2018,0.76,27,17,0.941,6,0.75,"p0=0.75"
401030786,2018,0.562,20,30,0.773,2,0.55,"p0=0.55"
401030787,2018,0.66,28,20,0.926,4,0.65,"p0=0.65"
401030788,2018,0.783,27,14,0.491,7,0.8,"p0=0.80"
401030789,2018,0.834,6,25,0.353,8,0.85,"p0=0.85"
401030790,2018,0.578,31,21,0.645,3,0.6,"p0=0.60"
401030791,2018,0.693,22,27,0.79,5,0.7,"p0=0.70"
401030792,2018,0.72,20,19,0.402,5,0.7,"p0=0.70"
401030793,2018,0.735,26,10,0.409,6,0.75,"p0=0.75"
401030794,2018,0.816,6,9,0.839,7,0.8,"p0=0.80"
401030795,2018,0.647,38,27,0.353,4,0.65,"p0=0.65"
401030796,2018,0.689,23,20,0.467,5,0.7,"p0=0.70"
401030797,2018,0.757,18,28,0.833,6,0.75,"p0=0.75"
401030798,2018,0.729,35,23,0.282,6,0.75,"p0=0.75"
401030799,2018,0.538,24,13,0.541,2,0.55,"p0=0.55"
401030800,2018,0.522,10,45,0.478,1,0.5,"p0=0.50"
401030801,2018,0.555,14,16,0.901,2,0.55,"p0=0.55"
401030802,2018,0.612,26,10,0.641,3,0.6,"p0=0.60"
401030803,2018,0.602,21,23,0.688,3,0.6,"p0=0.60"
401030804,2018,0.705,45,10,0.301,5,0.7,"p0=0.70"
401030805,2018,0.533,27,30,0.706,2,0.55,"p0=0.55"
401030806,2018,0.739,26,23,0.956,6,0.75,"p0=0.75"
401030807,2018,0.698,17,21,0.984,5,0.7,"p0=0.70"
401030808,2018,0.654,31,33,0.764,4,0.65,"p0=0.65"
401030809,2018,0.545,17,37,0.516,2,0.55,"p0=0.55"
401030810,2018,0.758,34,22,0.245,6,0.75,"p0=0.75"
401030811,2018,0.805,42,28,0.204,7,0.8,"p0=0.80"
401030812,2018,0.529,35,36,0.978,2,0.55,"p0=0.55"
