"game_id","season","starting_wp_favored","home_final","away_final","max_wp_loser"
401469379,2023,0.714,117,138,0.714
401469380,2023,0.521,113,108,0.899
401469381,2023,0.687,115,100,0.794
401469382,2023,0.613,109,95,0.857
401469383,2023,0.854,128,117,0.313
401469384,2023,0.728,114,119,0.856
401469385,2023,0.806,101,157,0.194
401469371,2023,0.906,120,114,0.44
401469372,2023,0.81,105,134,0.861
401469373,2023,0.91,95,106,0.952
401469374,2023,0.76,123,110,0.622
401469375,2023,0.829,133,137,0.971
401469376,2023,0.76,121,105,0.323
401469377,2023,0.586,109,114,0.893
401469378,2023,0.932,103,81,0.328
401469369,2023,0.836,131,151,0.332
401469370,2023,0.965,136,125,0.432
401469368,2023,0.818,118,114,0.936
401469367,2023,0.82,121,107,0.559
401469366,2023,0.581,97,119,0.439
401469365,2023,0.624,112,115,0.944
401469363,2023,0.821,114,137,0.517
401469364,2023,0.701,113,105,0.585
401469360,2023,0.935,131,136,0.972
401469361,2023,0.604,121,102,0.471
401469362,2023,0.875,101,84,0.205
401469357,2023,0.682,109,112,0.575
401469358,2023,0.768,115,122,0.909
401469359,2023,0.641,114,108,0.521
401469356,2023,0.754,119,115,0.755
401469355,2023,0.758,98,114,0.355
401469354,2023,0.643,104,105,1
401469353,2023,0.688,101,129,0.705
401469352,2023,0.788,94,118,0.916
401469351,2023,0.67,125,118,0.368
401469350,2023,0.52,123,119,0.887
401469349,2023,0.517,138,131,0.969
401469346,2023,0.869,121,104,0.317
401469347,2023,0.553,97,93,0.716
401469348,2023,0.519,105,92,0.843
401469344,2023,0.88,108,123,0.254
401469345,2023,0.594,126,137,0.762
401469342,2023,0.652,103,106,1
401469343,2023,0.958,115,94,0.067
401469341,2023,0.806,133,135,0.749
401469336,2023,0.589,103,101,0.81
401469337,2023,0.732,101,119,0.767
401469338,2023,0.785,124,103,0.894
401469339,2023,0.906,68,71,1
401469340,2023,0.534,103,121,0.771
401469335,2023,0.717,102,107,0.886
401469331,2023,0.951,100,120,0.305
401469332,2023,0.92,105,118,0.662
401469333,2023,0.661,113,117,0.68
401469334,2023,0.854,128,140,0.222
401469330,2023,0.522,112,110,0.878
401469328,2023,0.876,115,105,0.599
401469329,2023,0.553,117,104,0.447
401469326,2023,0.799,109,134,0.223
401469327,2023,0.607,118,128,0.601
401469322,2023,0.555,132,130,0.753
401469323,2023,0.916,118,109,0.566
401469324,2023,0.907,128,102,0.113
401469325,2023,0.937,134,142,0.945
401469319,2023,0.758,111,110,0.331
401469320,2023,0.516,128,107,0.964
401469321,2023,0.92,105,107,0.949
401469318,2023,0.865,108,128,0.192
401469317,2023,0.617,122,114,0.754
401469316,2023,0.603,129,122,0.756
401469315,2023,0.917,100,93,0.196
401469313,2023,0.926,130,115,0.531
401469314,2023,0.891,105,120,0.156
401469310,2023,0.758,121,115,0.686
401469311,2023,0.725,108,94,0.86
401469312,2023,0.505,111,123,0.884
401469307,2023,0.878,122,114,0.288
401469308,2023,0.586,124,107,0.687
401469309,2023,0.644,116,130,0.794
401469303,2023,0.879,91,121,0.146
401469304,2023,0.641,121,117,0.898
401469305,2023,0.665,117,110,0.395
401469306,2023,0.673,96,87,1
401469302,2023,0.687,86,102,0.725
401469301,2023,0.565,99,140,0.497
401469299,2023,0.733,107,100,0.774
401469300,2023,0.91,80,120,0.186
401469295,2023,0.7,96,110,0.717
401469296,2023,0.573,132,141,0.841
401469297,2023,0.833,105,106,1
401469298,2023,0.549,117,128,0.606
401469292,2023,0.871,123,114,0.897
401469293,2023,0.718,101,92,0.625
401469294,2023,0.628,116,108,0.8
401469291,2023,0.856,136,149,0.3
401469290,2023,0.675,120,109,0.936
401469288,2023,0.738,113,108,0.368
401469289,2023,0.804,134,137,0.939
401469286,2023,0.529,120,118,0.768
401469287,2023,0.692,106,92,0.586
401469285,2023,0.867,130,111,0.892
