"game_id","season","starting_wp_favored","home_final","away_final","max_wp_loser"
"401326569",2022,0.876,29,15,0.4078
"401326570",2022,0.6186,29,3,0.3814
"401326571",2022,0.6125,34,31,0.892
"401326572",2022,0.5727,22,25,0.5727
"401326573",2022,0.7368,20,23,0.8089
"401326574",2022,0.8794,50,10,0.1497
"401326575",2022,0.6698,18,10,0.6358
"401326576",2022,0.8846,24,28,0.999
"401326577",2022,0.6253,34,3,0.4452
"401326578",2022,0.5834,16,20,0.7641
"401326579",2022,0.5987,34,13,0.4489
"401326580",2022,0.8376,23,7,0.6096
"401326581",2022,0.6167,19,20,0.8714
"401326582",2022,0.8319,51,29,0.2536
"401326583",2022,0.7776,37,10,0.2784
"401326584",2022,0.5417,26,14,0.645
"401326585",2022,0.624,20,30,0.4043
"401326586",2022,0.5699,13,16,0.8866
"401326587",2022,0.9239,27,10,0.3187
"401326588",2022,0.5473,21,16,0.5482
"401326589",2022,0.7981,37,30,0.8956
"401326590",2022,0.7453,25,28,0.4536
"401326591",2022,0.7911,26,11,0.7955
"401326592",2022,0.6682,33,24,0.6752
"401326593",2022,0.6595,31,17,0.8681
"401326594",2022,0.5846,7,22,0.4783
"401326595",2022,0.5672,26,51,0.6341
"401326596",2022,0.8505,41,17,0.544
"401326597",2022,0.6506,30,38,0.8601
"401326598",2022,0.6497,24,28,0.692
"401326599",2022,0.6179,24,27,0.999
"401326600",2022,0.5835,35,32,0.8917
"401434030",2022,0.5588,27,24,0.8724
"401435638",2022,0.6692,21,16,0.4313
"401435639",2022,0.5677,25,28,0.6631
"401435640",2022,0.8794,22,27,0.9519
"401435641",2022,0.5049,17,21,0.8349
"401435642",2022,0.8276,10,38,0.2836
"401436831",2022,0.7907,41,7,0.3574
"401436832",2022,0.6628,24,7,0.3523
"401436983",2022,0.5183,51,14,0.5098
"401437131",2022,0.6557,31,28,0.9604
"401437470",2022,0.6481,31,41,0.6481
"401437605",2022,0.7504,27,7,0.2574
