"season","n","mean_max_wp","mean_pregame","heartbreakers_10"
2008,6,0.66251244644324,0.474008053541183,0
2009,8,0.602948300540447,0.48358866199851,0
2010,5,0.780910724401474,0.460439002513885,1
2011,5,0.569250363111496,0.429248666763306,0
2012,6,0.783676503226161,0.486048897107442,1
2013,8,0.688252814114094,0.479073345661163,1
2014,7,0.706563978620938,0.476902506181172,2
2015,11,0.703999802470207,0.499479020183737,0
2016,8,0.718750799074769,0.46917026117444,0
2017,7,0.6594808623361,0.487525386469705,1
2018,7,0.711890573089477,0.487525386469705,1
2019,3,0.682385215997696,0.529107431570689,0
2020,6,0.6748015259703,0.489734873175621,0
2021,9,0.731872816880544,0.494859801398383,0
2022,8,0.790754599729553,0.485868271440268,3
2023,5,0.778540695458651,0.535969173908234,1
2024,6,0.68640594681104,0.47773598631223,0
2025,9,0.751168097058932,0.517701735099157,1
