"game_id","season","starting_wp_favored","home_final","away_final","max_wp_loser"
401307882,2021,0.736,118,112,0.758
401307885,2021,0.722,136,121,0.755
401307886,2021,0.769,96,107,0.359
401307888,2021,0.852,117,112,0.875
401307890,2021,0.547,132,116,0.453
401307891,2021,0.772,87,115,0.589
401307883,2021,0.773,107,120,0.227
401307880,2021,0.661,120,92,0.445
401307881,2021,0.875,123,109,0.135
401307889,2021,0.717,128,117,0.645
401307884,2021,0.739,113,101,0.582
401307892,2021,0.726,121,123,0.761
401307887,2021,0.604,96,92,0.478
401307893,2021,0.571,113,125,0.549
401307894,2021,0.529,115,110,0.952
401307876,2021,0.577,122,108,0.447
401307877,2021,0.561,108,124,0.626
401307879,2021,0.754,103,140,0.261
401307874,2021,0.737,105,91,0.571
401307875,2021,0.607,115,122,0.474
401307878,2021,0.536,118,109,0.716
401307873,2021,0.609,125,122,0.668
401307870,2021,0.719,114,110,0.305
401307871,2021,0.769,122,115,0.904
401307872,2021,0.653,107,106,0.877
401307867,2021,0.79,89,104,0.433
401307868,2021,0.859,122,97,0.215
401307869,2021,0.887,93,109,0.12
401307866,2021,0.688,120,105,0.606
401307865,2021,0.579,118,117,0.975
401307862,2021,0.657,114,102,0.534
401307863,2021,0.549,116,110,0.881
401307864,2021,0.698,103,114,0.405
401307859,2021,0.72,93,71,0.328
401307860,2021,0.524,106,94,0.595
401307861,2021,0.583,102,98,0.969
401307857,2021,0.645,90,113,0.576
401307858,2021,0.715,133,142,0.534
401307856,2021,0.86,124,122,0.65
401307855,2021,0.595,98,105,0.852
401307854,2021,0.767,125,107,0.341
401307852,2021,0.742,128,116,0.303
401307853,2021,0.694,102,94,0.716
401307851,2021,0.58,120,116,0.957
401307848,2021,0.515,122,116,0.911
401307849,2021,0.719,122,106,0.782
401307850,2021,0.651,101,99,0.924
401307847,2021,0.892,114,102,0.145
401307844,2021,0.668,103,94,0.944
401307845,2021,0.622,107,115,0.378
401307846,2021,0.572,133,104,0.774
401307840,2021,0.566,121,129,0.624
401307843,2021,0.745,96,115,0.268
401307841,2021,0.602,112,117,0.5
401307842,2021,0.671,85,110,0.351
401307838,2021,0.51,119,116,0.774
401307839,2021,0.79,140,129,0.215
401307837,2021,0.749,146,125,0.799
401307836,2021,0.559,115,110,0.79
401307834,2021,0.652,102,111,0.729
401307835,2021,0.567,125,124,0.655
401307832,2021,0.578,123,110,0.578
401307833,2021,0.727,126,98,0.407
401307831,2021,0.72,96,108,0.306
401307828,2021,0.529,110,112,0.892
401307829,2021,0.684,97,124,0.318
401307830,2021,0.594,96,128,0.479
401307827,2021,0.773,100,106,0.901
401307826,2021,0.516,124,130,0.504
401307822,2021,0.578,119,125,0.966
401307823,2021,0.89,124,116,0.389
401307824,2021,0.84,136,97,0.205
401307825,2021,0.689,124,102,0.581
401307819,2021,0.529,99,109,0.657
401307820,2021,0.597,132,133,0.958
401307821,2021,0.812,118,104,0.188
401307816,2021,0.76,128,105,0.725
401307817,2021,0.548,106,101,0.587
401307818,2021,0.555,104,113,0.814
401307815,2021,0.595,127,120,0.713
