season,game_id,game_date,home_team_abbr,away_team_abbr,sequence_number,game_seconds_remaining,game_minutes_remaining,side,team,p,y,lead,start_prob,threshold,boundary,residual,loss,implied_loss,favoredness,minute_bin,favored_bin
2018,400974438,2017-10-17,GS,HOU,682,0,0,away,HOU,0.999,1,1,0.51,0.9,weak,-0.0010000000000000009,0,0.0010000000000000009,0.51,"[-Inf,1)","[0.5,0.6)"
2018,400974819,2017-10-26,POR,LAC,654,0,0,away,LAC,1,1,1,0.396,0.9,weak,0,0,0,0.604,"[-Inf,1)","[0.6,0.7)"
2018,400975011,2017-11-22,MEM,DAL,640,0,0,away,DAL,0.999,1,1,0.28600000000000003,0.9,weak,-0.0010000000000000009,0,0.0010000000000000009,0.714,"[-Inf,1)","[0.7,0.8)"
2018,400975105,2017-12-06,IND,CHI,577,0,0,home,IND,0.983,1,2,0.856,0.9,weak,-0.017000000000000015,0,0.017000000000000015,0.856,"[-Inf,1)","[0.8,0.9)"
2018,400975197,2017-12-18,MIN,POR,588,0,0,home,MIN,0.99,1,1,0.612,0.9,weak,-0.010000000000000009,0,0.010000000000000009,0.612,"[-Inf,1)","[0.6,0.7)"
2018,400975214,2017-12-20,POR,SA,627,0,0,away,SA,1,1,2,0.491,0.9,weak,0,0,0,0.509,"[-Inf,1)","[0.5,0.6)"
2018,400975332,2018-01-07,MIA,UTAH,602,0,0,home,MIA,1,1,1,0.561,0.9,weak,0,0,0,0.561,"[-Inf,1)","[0.5,0.6)"
2018,400975345,2018-01-09,TOR,MIA,631,0,0,away,MIA,0.985,1,1,0.20499999999999996,0.9,weak,-0.015000000000000013,0,0.015000000000000013,0.795,"[-Inf,1)","[0.7,0.8)"
2018,400975378,2018-01-13,CHI,DET,589,0,0,home,CHI,1,1,2,0.38,0.9,weak,0,0,0,0.62,"[-Inf,1)","[0.6,0.7)"
2018,400975422,2018-01-20,CHA,MIA,592,0,0,away,MIA,0.963,1,0,0.32599999999999996,0.9,weak,-0.03700000000000003,0,0.03700000000000003,0.674,"[-Inf,1)","[0.6,0.7)"
2018,400975443,2018-01-23,OKC,BKN,646,0,0,home,OKC,1,1,1,0.836,0.9,weak,0,0,0,0.836,"[-Inf,1)","[0.8,0.9)"
2018,400975456,2018-01-25,MIA,SAC,592,0,0,away,SAC,0.983,1,1,0.20099999999999996,0.9,weak,-0.017000000000000015,0,0.017000000000000015,0.799,"[-Inf,1)","[0.7,0.8)"
2018,400975568,2018-02-09,CHI,MIN,618,0,0,home,CHI,0.999,1,1,0.357,0.9,weak,-0.0010000000000000009,0,0.0010000000000000009,0.643,"[-Inf,1)","[0.6,0.7)"
2018,400975591,2018-02-12,UTAH,SA,682,0,0,home,UTAH,0.999,1,2,0.534,0.9,weak,-0.0010000000000000009,0,0.0010000000000000009,0.534,"[-Inf,1)","[0.5,0.6)"
2018,400975655,2018-02-27,MIA,PHI,697,0,0,home,MIA,1,1,1,0.547,0.9,weak,0,0,0,0.547,"[-Inf,1)","[0.5,0.6)"
