league,method,time_index,regulation_fraction,bin_id,n_games,mean_forecast,observed_rate,gap,bin_lower,bin_upper
nba,linear,0,0,8,818,0.7237921760391205,0.7053789731051344,-0.0184132029339853,0.696,0.753
nba,linear,1,0.05,8,825,0.7309977658652824,0.7236363636363636,-0.007361402228917761,0.7012173913043478,0.7607692307692308
nba,linear,2,0.1,7,827,0.6810093334422698,0.6662636033857315,-0.014745730056538155,0.6506666666666667,0.7118333333333333
nba,linear,3,0.15000000000000002,6,828,0.6208451736358945,0.5736714975845411,-0.04717367605135359,0.5889999999999996,0.6541666666666666
nba,linear,4,0.2,5,827,0.5460772374607767,0.5501813784764208,0.0041041410156437376,0.5067619047619047,0.5866363636363636
nba,linear,5,0.25,4,822,0.45963503649635107,0.4537712895377129,-0.005863746958637467,0.4139999999999999,0.505
nba,linear,6,0.30000000000000004,3,827,0.35321547787730784,0.37605804111245467,0.022842563235146697,0.3026999999999997,0.4034999999999996
nba,linear,7,0.35000000000000003,4,826,0.44527977605857494,0.4576271186440678,0.012347342585492724,0.39442857142857213,0.4950588235294115
nba,linear,8,0.4,4,825,0.436826779710455,0.45454545454545453,0.017718674834999382,0.38192857142857145,0.4895714285714287
nba,linear,9,0.45,4,827,0.4265853945083649,0.4534461910519952,0.02686079654363006,0.368,0.4822
nba,linear,10,0.5,3,828,0.29234855475557037,0.33695652173913043,0.04460796698355993,0.231,0.357
nba,linear,11,0.55,4,826,0.40119220920256865,0.4346246973365617,0.03343248813399298,0.3347142857142857,0.4648
nba,linear,12,0.6000000000000001,3,827,0.2546576374671957,0.3047158403869408,0.05005820291974483,0.1886428571428573,0.3226666666666647
nba,linear,13,0.65,2,826,0.10283391711569465,0.14648910411622276,0.043655187000528124,0.05410000000000014,0.16169230769230783
nba,linear,14,0.7000000000000001,1,824,0.012898298255590749,0.025485436893203883,0.012587138637613123,0.001,0.03694444444444449
nba,linear,15,0.75,1,820,0.007147560975609729,0.00853658536585366,0.0013890243902439324,0,0.02300000000000002
nba,linear,16,0.8,1,826,0.003598573723009765,0.004842615012106538,0.0012440412890967383,0.001,0.012454545454545433
nba,linear,17,0.8500000000000001,1,826,0.001655099127776082,0.0012106537530266344,-4.444453747494683e-4,0.001,0.00511764705882355
nba,linear,18,0.9,2,824,0.012377576081454799,0.019417475728155338,0.007039899646700552,0.0016000000000000129,0.03382352941176445
