season,game_id,game_date,home_team_abbr,away_team_abbr,n_published_updates,n_regulation_updates,has_regulation_clock,fixed_clock_included
2018,400975974,2018-04-11,LAC,LAL,453,453,TRUE,TRUE
2018,400975975,2018-04-11,POR,UTAH,475,475,TRUE,TRUE
2018,400975976,2018-04-11,SAC,HOU,419,419,TRUE,TRUE
2018,400975965,2018-04-11,BOS,BKN,462,462,TRUE,TRUE
2018,400975966,2018-04-11,CLE,NY,448,448,TRUE,TRUE
2018,400975967,2018-04-11,MIA,TOR,502,445,TRUE,TRUE
2018,400975968,2018-04-11,ORL,WSH,492,492,TRUE,TRUE
2018,400975969,2018-04-11,PHI,MIL,475,475,TRUE,TRUE
2018,400975970,2018-04-11,CHI,DET,428,428,TRUE,TRUE
2018,400975971,2018-04-11,MIN,DEN,484,430,TRUE,TRUE
2018,400975972,2018-04-11,NO,SA,462,462,TRUE,TRUE
2018,400975973,2018-04-11,OKC,MEM,474,474,TRUE,TRUE
2018,400975964,2018-04-10,LAL,HOU,455,455,TRUE,TRUE
2018,400975963,2018-04-10,UTAH,GS,443,443,TRUE,TRUE
2018,400975962,2018-04-10,DAL,PHX,418,418,TRUE,TRUE
2018,400975961,2018-04-10,WSH,BOS,475,475,TRUE,TRUE
2018,400975960,2018-04-10,ATL,PHI,534,534,TRUE,TRUE
2018,400975959,2018-04-10,IND,CHA,429,429,TRUE,TRUE
2018,400975958,2018-04-09,LAC,NO,475,475,TRUE,TRUE
2018,400975957,2018-04-09,DEN,POR,504,504,TRUE,TRUE
2018,400975956,2018-04-09,SA,SAC,448,448,TRUE,TRUE
2018,400975954,2018-04-09,MIL,ORL,460,460,TRUE,TRUE
2018,400975955,2018-04-09,MIN,MEM,466,466,TRUE,TRUE
2018,400975951,2018-04-09,BKN,CHI,421,421,TRUE,TRUE
2018,400975952,2018-04-09,MIA,OKC,475,475,TRUE,TRUE
2018,400975953,2018-04-09,NY,CLE,438,438,TRUE,TRUE
2018,400975950,2018-04-09,DET,TOR,383,383,TRUE,TRUE
2018,400975949,2018-04-08,PHX,GS,435,435,TRUE,TRUE
2018,400975946,2018-04-08,TOR,ORL,439,439,TRUE,TRUE
2018,400975947,2018-04-08,LAL,UTAH,481,481,TRUE,TRUE
2018,400975945,2018-04-08,MEM,DET,451,451,TRUE,TRUE
2018,400975943,2018-04-08,CHA,IND,446,446,TRUE,TRUE
2018,400975944,2018-04-08,PHI,DAL,442,442,TRUE,TRUE
2018,400975948,2018-04-08,BOS,ATL,435,435,TRUE,TRUE
2018,400975942,2018-04-07,SA,POR,427,427,TRUE,TRUE
2018,400975940,2018-04-07,HOU,OKC,472,472,TRUE,TRUE
2018,400975941,2018-04-07,GS,NO,433,433,TRUE,TRUE
2018,400975939,2018-04-07,CHI,BKN,441,441,TRUE,TRUE
2018,400975938,2018-04-07,NY,MIL,424,424,TRUE,TRUE
2018,400975937,2018-04-07,LAC,DEN,464,464,TRUE,TRUE
2018,400975936,2018-04-06,LAL,MIN,490,490,TRUE,TRUE
2018,400975935,2018-04-06,PHX,NO,501,501,TRUE,TRUE
2018,400975934,2018-04-06,MEM,SAC,441,441,TRUE,TRUE
2018,400975931,2018-04-06,BOS,CHI,443,443,TRUE,TRUE
2018,400975932,2018-04-06,NY,MIA,455,455,TRUE,TRUE
2018,400975933,2018-04-06,TOR,IND,456,456,TRUE,TRUE
2018,400975927,2018-04-06,DET,DAL,462,411,TRUE,TRUE
2018,400975928,2018-04-06,ORL,CHA,423,423,TRUE,TRUE
2018,400975929,2018-04-06,PHI,CLE,506,506,TRUE,TRUE
2018,400975930,2018-04-06,WSH,ATL,461,461,TRUE,TRUE
2018,400975926,2018-04-05,DEN,MIN,460,460,TRUE,TRUE
2018,400975925,2018-04-05,UTAH,LAC,466,466,TRUE,TRUE
2018,400975922,2018-04-05,CLE,WSH,437,437,TRUE,TRUE
2018,400975923,2018-04-05,HOU,POR,444,444,TRUE,TRUE
2018,400975924,2018-04-05,MIL,BKN,454,454,TRUE,TRUE
2018,400975921,2018-04-05,IND,GS,448,448,TRUE,TRUE
2018,400975920,2018-04-04,LAL,SA,476,424,TRUE,TRUE
2018,400975917,2018-04-04,TOR,BOS,452,452,TRUE,TRUE
2018,400975919,2018-04-04,NO,MEM,469,469,TRUE,TRUE
2018,400975918,2018-04-04,ATL,MIA,471,471,TRUE,TRUE
2018,400975915,2018-04-04,DET,PHI,470,470,TRUE,TRUE
