season,game_id,game_date,home_team_abbr,away_team_abbr,sequence_number,game_seconds_remaining,game_minutes_remaining,side,team,p,y,lead,start_prob,threshold,boundary,residual,loss,implied_loss,favoredness,minute_bin,favored_bin
2018,401030702,2018-10-07,BUF,TEN,388600,0,0,home,BUF,1,1,1,0.429,0.9,weak,0,0,0,0.571,"[-Inf,1)","[0.5,0.6)"
2018,401030710,2018-09-07,PHI,ATL,449400,0,0,home,PHI,1,1,6,0.588,0.9,weak,0,0,0,0.588,"[-Inf,1)","[0.5,0.6)"
2018,401030761,2018-12-09,MIA,NE,417200,0,0,home,MIA,1,1,1,0.243,0.9,weak,0,0,0,0.757,"[-Inf,1)","[0.7,0.8)"
2018,401030848,2018-09-30,ARI,SEA,421800,0,0,away,SEA,1,1,3,0.673,0.9,weak,0,0,0,0.673,"[-Inf,1)","[0.6,0.7)"
2018,401030920,2018-11-25,CAR,SEA,403700,0,0,away,SEA,1,1,3,0.405,0.9,weak,0,0,0,0.595,"[-Inf,1)","[0.5,0.6)"
2018,401030969,2018-11-18,LAC,DEN,435100,0,0,away,DEN,1,1,1,0.236,0.9,weak,0,0,0,0.764,"[-Inf,1)","[0.7,0.8)"
2018,401030970,2018-11-18,ARI,OAK,429600,0,0,away,OAK,1,1,2,0.44999999999999996,0.9,weak,0,0,0,0.55,"[-Inf,1)","[0.5,0.6)"
2019,401127969,2019-12-08,NYJ,MIA,441300,0,0,home,NYJ,1,1,1,0.718,0.9,weak,0,0,0,0.718,"[-Inf,1)","[0.7,0.8)"
2019,401128027,2019-12-01,BAL,SF,358800,0,0,home,BAL,1,1,3,0.68,0.9,weak,0,0,0,0.68,"[-Inf,1)","[0.6,0.7)"
2019,401128034,2019-12-29,TB,ATL,436900,0,0,away,ATL,1,1,6,0.401,0.9,weak,0,0,0,0.599,"[-Inf,1)","[0.5,0.6)"
2019,401128039,2019-10-27,CHI,LAC,422400,0,0,away,LAC,1,1,1,0.357,0.9,weak,0,0,0,0.643,"[-Inf,1)","[0.6,0.7)"
2019,401128079,2019-11-03,KC,MIN,455100,0,0,home,KC,1,1,3,0.406,0.9,weak,0,0,0,0.594,"[-Inf,1)","[0.5,0.6)"
2019,401128081,2019-11-17,MIN,DEN,440900,0,0,home,MIN,1,1,4,0.793,0.9,weak,0,0,0,0.793,"[-Inf,1)","[0.7,0.8)"
2020,401220135,2020-11-29,NE,ARI,396500,0,0,home,NE,1,1,3,0.484,0.9,weak,0,0,0,0.516,"[-Inf,1)","[0.5,0.6)"
2020,401220140,2020-11-10,NYJ,NE,398100,0,0,away,NE,1,1,3,0.7150000000000001,0.9,weak,0,0,0,0.7150000000000001,"[-Inf,1)","[0.7,0.8)"
2020,401220150,2020-11-22,BAL,TEN,424400,0,0,away,TEN,1,1,6,0.31999999999999995,0.9,weak,0,0,0,0.68,"[-Inf,1)","[0.6,0.7)"
2020,401220212,2020-11-01,DEN,LAC,476000,0,0,home,DEN,1,1,1,0.537,0.9,weak,0,0,0,0.537,"[-Inf,1)","[0.5,0.6)"
2020,401220235,2020-09-20,LAC,KC,484100,0,0,away,KC,1,1,3,0.712,0.9,weak,0,0,0,0.712,"[-Inf,1)","[0.7,0.8)"
2020,401220236,2020-11-08,LAC,LV,406900,0,0,away,LV,1,1,5,0.54,0.9,weak,0,0,0,0.54,"[-Inf,1)","[0.5,0.6)"
2020,401220239,2020-12-13,LAC,ATL,395500,0,0,home,LAC,1,1,3,0.426,0.9,weak,0,0,0,0.5740000000000001,"[-Inf,1)","[0.5,0.6)"
2020,401220249,2020-09-20,DAL,ATL,515400,0,0,home,DAL,1,1,1,0.645,0.9,weak,0,0,0,0.645,"[-Inf,1)","[0.6,0.7)"
2020,401220310,2020-10-25,ATL,DET,432600,0,0,away,DET,1,1,1,0.40700000000000003,0.9,weak,0,0,0,0.593,"[-Inf,1)","[0.5,0.6)"
2021,401326127,2021-09-17,WSH,NYG,464600,0,0,home,WSH,1,1,1,0.5617,0.9,weak,0,0,0,0.5617,"[-Inf,1)","[0.5,0.6)"
2021,401326325,2021-10-17,JAX,MIA,454000,0,0,home,JAX,1,1,3,0.3887,0.9,weak,0,0,0,0.6113,"[-Inf,1)","[0.6,0.7)"
2021,401326359,2021-09-19,LAC,DAL,414500,0,0,away,DAL,1,1,3,0.49660000000000004,0.9,weak,0,0,0,0.5034,"[-Inf,1)","[0.5,0.6)"
2021,401326513,2021-12-05,DET,MIN,456100,0,0,home,DET,1,1,2,0.3205,0.9,weak,0,0,0,0.6795,"[-Inf,1)","[0.6,0.7)"
2021,401326537,2021-12-17,LAC,KC,446300,0,0,away,KC,1,1,6,0.5153,0.9,weak,0,0,0,0.5153,"[-Inf,1)","[0.5,0.6)"
2021,401326539,2021-12-20,CLE,LV,423400,0,0,away,LV,1,1,2,0.37639999999999996,0.9,weak,0,0,0,0.6236,"[-Inf,1)","[0.6,0.7)"
2022,401437734,2022-09-18,DAL,CIN,398900,0,0,home,DAL,1,1,3,0.1779,0.9,weak,0,0,0,0.8221,"[-Inf,1)","[0.8,0.9)"
2022,401437771,2022-10-09,WSH,TEN,401700,0,0,away,TEN,1,1,4,0.35119999999999996,0.9,weak,0,0,0,0.6488,"[-Inf,1)","[0.6,0.7)"
2022,401437775,2022-10-10,BAL,CIN,386800,0,0,home,BAL,1,1,2,0.5094,0.9,weak,0,0,0,0.5094,"[-Inf,1)","[0.5,0.6)"
2022,401437956,2023-01-08,NO,CAR,355300,0,0,away,CAR,1,1,3,0.38870000000000005,0.9,weak,0,0,0,0.6113,"[-Inf,1)","[0.6,0.7)"
2023,401547491,2023-10-22,TB,ATL,441600,0,0,away,ATL,1,1,3,0.4729,0.9,weak,0,0,0,0.5271,"[-Inf,1)","[0.5,0.6)"
2023,401547531,2023-11-12,BAL,CLE,443100,0,0,away,CLE,1,1,2,0.2994,0.9,weak,0,0,0,0.7006,"[-Inf,1)","[0.7,0.8)"
2023,401547537,2023-11-14,BUF,DEN,450300,0,0,away,DEN,1,1,2,0.21230000000000004,0.9,weak,0,0,0,0.7877,"[-Inf,1)","[0.7,0.8)"
2023,401547591,2023-12-12,NYG,GB,427700,0,0,home,NYG,1,1,2,0.2747,0.9,weak,0,0,0,0.7253000000000001,"[-Inf,1)","[0.7,0.8)"
2024,401671644,2024-10-20,GB,HOU,393500,0,0,home,GB,1,1,2,0.5793,0.9,weak,0,0,0,0.5793,"[-Inf,1)","[0.5,0.6)"
2024,401671670,2024-09-15,KC,CIN,417500,0,0,home,KC,1,1,1,0.6633,0.9,weak,0,0,0,0.6633,"[-Inf,1)","[0.6,0.7)"
2024,401671742,2024-11-10,TB,SF,411100,0,0,away,SF,1,1,3,0.5287,0.9,weak,0,0,0,0.5287,"[-Inf,1)","[0.5,0.6)"
2024,401671787,2024-11-11,HOU,DET,422400,0,0,away,DET,1,1,3,0.6313,0.9,weak,0,0,0,0.6313,"[-Inf,1)","[0.6,0.7)"
2024,401671849,2024-09-08,MIA,JAX,409800,0,0,home,MIA,1,1,3,0.588,0.9,weak,0,0,0,0.588,"[-Inf,1)","[0.5,0.6)"
2018,401030694,2018-09-16,TEN,HOU,390800,0,0,home,TEN,1,1,3,0.506,0.95,weak,0,0,0,0.506,"[-Inf,1)","[0.5,0.6)"
2018,401030701,2018-10-14,WSH,CAR,402600,0,0,home,WSH,1,1,6,0.557,0.95,weak,0,0,0,0.557,"[-Inf,1)","[0.5,0.6)"
2018,401030702,2018-10-07,BUF,TEN,388600,0,0,home,BUF,1,1,1,0.429,0.95,weak,0,0,0,0.571,"[-Inf,1)","[0.5,0.6)"
2018,401030710,2018-09-07,PHI,ATL,449400,0,0,home,PHI,1,1,6,0.588,0.95,weak,0,0,0,0.588,"[-Inf,1)","[0.5,0.6)"
2018,401030761,2018-12-09,MIA,NE,417200,0,0,home,MIA,1,1,1,0.243,0.95,weak,0,0,0,0.757,"[-Inf,1)","[0.7,0.8)"
2018,401030770,2018-10-07,CLE,BAL,508300,0,0,home,CLE,1,1,3,0.279,0.95,weak,0,0,0,0.721,"[-Inf,1)","[0.7,0.8)"
2018,401030772,2018-10-28,ARI,SF,432900,0,0,home,ARI,1,1,3,0.446,0.95,weak,0,0,0,0.554,"[-Inf,1)","[0.5,0.6)"
2018,401030783,2018-10-16,GB,SF,400600,0,0,home,GB,1,1,3,0.78,0.95,weak,0,0,0,0.78,"[-Inf,1)","[0.7,0.8)"
2018,401030820,2018-12-30,TB,ATL,438900,0,0,away,ATL,1,1,2,0.523,0.95,weak,0,0,0,0.523,"[-Inf,1)","[0.5,0.6)"
2018,401030831,2018-10-08,HOU,DAL,447000,0,0,home,HOU,1,1,3,0.584,0.95,weak,0,0,0,0.584,"[-Inf,1)","[0.5,0.6)"
2018,401030845,2018-09-30,DAL,DET,380500,0,0,home,DAL,1,1,2,0.688,0.95,weak,0,0,0,0.688,"[-Inf,1)","[0.6,0.7)"
2018,401030848,2018-09-30,ARI,SEA,421800,0,0,away,SEA,1,1,3,0.673,0.95,weak,0,0,0,0.673,"[-Inf,1)","[0.6,0.7)"
2018,401030920,2018-11-25,CAR,SEA,403700,0,0,away,SEA,1,1,3,0.405,0.95,weak,0,0,0,0.595,"[-Inf,1)","[0.5,0.6)"
2018,401030924,2018-12-16,JAX,WSH,393500,0,0,away,WSH,1,1,3,0.31799999999999995,0.95,weak,0,0,0,0.682,"[-Inf,1)","[0.6,0.7)"
2018,401030929,2018-11-18,ATL,DAL,378000,0,0,away,DAL,1,1,3,0.404,0.95,weak,0,0,0,0.596,"[-Inf,1)","[0.5,0.6)"
2018,401030951,2018-12-03,PIT,LAC,414800,0,0,away,LAC,0.978,1,0,0.41000000000000003,0.95,weak,-0.02200000000000002,0,0.02200000000000002,0.59,"[-Inf,1)","[0.5,0.6)"
2018,401030962,2018-12-02,JAX,IND,427600,0,0,home,JAX,1,1,6,0.425,0.95,weak,0,0,0,0.575,"[-Inf,1)","[0.5,0.6)"
2018,401030969,2018-11-18,LAC,DEN,435100,0,0,away,DEN,1,1,1,0.236,0.95,weak,0,0,0,0.764,"[-Inf,1)","[0.7,0.8)"
2018,401030970,2018-11-18,ARI,OAK,429600,0,0,away,OAK,1,1,2,0.44999999999999996,0.95,weak,0,0,0,0.55,"[-Inf,1)","[0.5,0.6)"
2019,401127969,2019-12-08,NYJ,MIA,441300,0,0,home,NYJ,1,1,1,0.718,0.95,weak,0,0,0,0.718,"[-Inf,1)","[0.7,0.8)"
