season,game_id,game_date,home_team_abbr,away_team_abbr,n_published_updates,n_regulation_updates,has_regulation_clock,fixed_clock_included
2018,401030710,2018-09-07,PHI,ATL,183,179,TRUE,TRUE
2018,401030717,2018-09-09,IND,CIN,176,173,TRUE,TRUE
2018,401030716,2018-09-09,MIA,TEN,174,173,TRUE,TRUE
2018,401030715,2018-09-09,MIN,SF,182,176,TRUE,TRUE
2018,401030714,2018-09-09,NE,HOU,195,194,TRUE,TRUE
2018,401030713,2018-09-09,NO,TB,169,161,TRUE,TRUE
2018,401030712,2018-09-09,NYG,JAX,179,172,TRUE,TRUE
2018,401030711,2018-09-09,BAL,BUF,194,189,TRUE,TRUE
2018,401030720,2018-09-09,LAC,KC,177,173,TRUE,TRUE
2018,401030721,2018-09-09,DEN,SEA,176,172,TRUE,TRUE
2018,401030725,2018-09-09,ARI,WSH,173,171,TRUE,TRUE
2018,401030723,2018-09-09,CAR,DAL,174,172,TRUE,TRUE
2018,401030726,2018-09-10,GB,CHI,175,169,TRUE,TRUE
2018,401030728,2018-09-10,DET,NYJ,170,167,TRUE,TRUE
2018,401030751,2018-09-11,OAK,LAR,180,179,TRUE,TRUE
2018,401030690,2018-09-14,CIN,BAL,207,202,TRUE,TRUE
2018,401030691,2018-09-16,ATL,CAR,168,167,TRUE,TRUE
2018,401030704,2018-09-16,BUF,LAC,159,158,TRUE,TRUE
2018,401030694,2018-09-16,TEN,HOU,169,165,TRUE,TRUE
2018,401030708,2018-09-16,NO,CLE,165,159,TRUE,TRUE
2018,401030700,2018-09-16,NYJ,MIA,164,161,TRUE,TRUE
2018,401030698,2018-09-16,PIT,KC,186,183,TRUE,TRUE
2018,401030696,2018-09-16,TB,PHI,179,176,TRUE,TRUE
2018,401030693,2018-09-16,WSH,IND,175,170,TRUE,TRUE
2018,401030732,2018-09-16,LAR,ARI,149,147,TRUE,TRUE
2018,401030730,2018-09-16,SF,DET,187,185,TRUE,TRUE
2018,401030736,2018-09-16,DEN,OAK,171,168,TRUE,TRUE
2018,401030733,2018-09-16,JAX,NE,170,167,TRUE,TRUE
2018,401030738,2018-09-17,DAL,NYG,160,154,TRUE,TRUE
2018,401030739,2018-09-18,CHI,SEA,171,169,TRUE,TRUE
2018,401030775,2018-09-21,CLE,NYJ,183,179,TRUE,TRUE
2018,401030777,2018-09-23,ATL,NO,194,173,TRUE,TRUE
