m,curve,t,upper_gap
1,"every update (K = 1,000)",0,-0.02926
1,"every update (K = 1,000)",0.01,-0.027639999999999998
1,"every update (K = 1,000)",0.02,-0.025900000000000003
1,"every update (K = 1,000)",0.03,-0.02522
1,"every update (K = 1,000)",0.04,-0.02454
1,"every update (K = 1,000)",0.05,-0.024959999999999996
1,"every update (K = 1,000)",0.06,-0.02464000000000001
1,"every update (K = 1,000)",0.07,-0.02524
1,"every update (K = 1,000)",0.08,-0.026219999999999993
1,"every update (K = 1,000)",0.09,-0.02704000000000001
1,"every update (K = 1,000)",0.1,-0.02665999999999999
1,"every update (K = 1,000)",0.11,-0.026679999999999995
1,"every update (K = 1,000)",0.12,-0.02632000000000001
1,"every update (K = 1,000)",0.13,-0.02643999999999999
1,"every update (K = 1,000)",0.14,-0.025019999999999987
1,"every update (K = 1,000)",0.15,-0.025760000000000005
1,"every update (K = 1,000)",0.16,-0.026079999999999992
1,"every update (K = 1,000)",0.17,-0.02606
1,"every update (K = 1,000)",0.18,-0.026020000000000015
1,"every update (K = 1,000)",0.19,-0.0257
1,"every update (K = 1,000)",0.2,-0.025239999999999985
1,"every update (K = 1,000)",0.21,-0.02508000000000002
1,"every update (K = 1,000)",0.22,-0.02557999999999999
1,"every update (K = 1,000)",0.23,-0.02596000000000001
1,"every update (K = 1,000)",0.24,-0.025859999999999994
1,"every update (K = 1,000)",0.25,-0.02479999999999999
1,"every update (K = 1,000)",0.26,-0.025119999999999976
1,"every update (K = 1,000)",0.27,-0.025040000000000007
1,"every update (K = 1,000)",0.28,-0.024479999999999946
1,"every update (K = 1,000)",0.29,-0.02432000000000001
1,"every update (K = 1,000)",0.3,-0.02400000000000002
1,"every update (K = 1,000)",0.31,-0.02400000000000002
1,"every update (K = 1,000)",0.32,-0.023760000000000003
1,"every update (K = 1,000)",0.33,-0.02315999999999996
1,"every update (K = 1,000)",0.34,-0.022679999999999978
1,"every update (K = 1,000)",0.35000000000000003,-0.02233999999999997
1,"every update (K = 1,000)",0.36,-0.022540000000000004
1,"every update (K = 1,000)",0.37,-0.022639999999999993
1,"every update (K = 1,000)",0.38,-0.022260000000000002
1,"every update (K = 1,000)",0.39,-0.02176
1,"every update (K = 1,000)",0.4,-0.02193999999999996
1,"every update (K = 1,000)",0.41000000000000003,-0.022219999999999962
1,"every update (K = 1,000)",0.42,-0.022780000000000022
1,"every update (K = 1,000)",0.43,-0.02250000000000002
1,"every update (K = 1,000)",0.44,-0.022940000000000016
1,"every update (K = 1,000)",0.45,-0.022940000000000016
1,"every update (K = 1,000)",0.46,-0.022399999999999975
1,"every update (K = 1,000)",0.47000000000000003,-0.021559999999999968
1,"every update (K = 1,000)",0.48,-0.021399999999999975
1,"every update (K = 1,000)",0.49,-0.021100000000000008
1,"every update (K = 1,000)",0.5,-0.02071999999999996
1,"every update (K = 1,000)",0.51,-0.02083999999999997
1,"every update (K = 1,000)",0.52,-0.021240000000000037
1,"every update (K = 1,000)",0.53,-0.021279999999999966
1,"every update (K = 1,000)",0.54,-0.02095999999999998
1,"every update (K = 1,000)",0.55,-0.02077999999999991
1,"every update (K = 1,000)",0.56,-0.020279999999999965
1,"every update (K = 1,000)",0.5700000000000001,-0.01983999999999997
1,"every update (K = 1,000)",0.58,-0.01974000000000009
1,"every update (K = 1,000)",0.59,-0.019040000000000057
1,"every update (K = 1,000)",0.6,-0.019120000000000026
1,"every update (K = 1,000)",0.61,-0.018920000000000048
1,"every update (K = 1,000)",0.62,-0.01849999999999996
1,"every update (K = 1,000)",0.63,-0.018020000000000036
1,"every update (K = 1,000)",0.64,-0.018100000000000005
1,"every update (K = 1,000)",0.65,-0.017919999999999936
1,"every update (K = 1,000)",0.66,-0.017780000000000018
1,"every update (K = 1,000)",0.67,-0.017279999999999962
1,"every update (K = 1,000)",0.68,-0.0174399999999999
1,"every update (K = 1,000)",0.6900000000000001,-0.016779999999999906
1,"every update (K = 1,000)",0.7000000000000001,-0.016039999999999943
1,"every update (K = 1,000)",0.71,-0.015660000000000007
1,"every update (K = 1,000)",0.72,-0.015160000000000062
1,"every update (K = 1,000)",0.73,-0.01417999999999997
1,"every update (K = 1,000)",0.74,-0.01319999999999999
1,"every update (K = 1,000)",0.75,-0.0131
1,"every update (K = 1,000)",0.76,-0.013259999999999939
1,"every update (K = 1,000)",0.77,-0.012319999999999998
1,"every update (K = 1,000)",0.78,-0.011340000000000017
1,"every update (K = 1,000)",0.79,-0.011059999999999959
1,"every update (K = 1,000)",0.8,-0.011119999999999908
1,"every update (K = 1,000)",0.81,-0.0107799999999999
1,"every update (K = 1,000)",0.8200000000000001,-0.010359999999999925
1,"every update (K = 1,000)",0.8300000000000001,-0.009939999999999949
1,"every update (K = 1,000)",0.84,-0.009220000000000006
1,"every update (K = 1,000)",0.85,-0.009060000000000068
1,"every update (K = 1,000)",0.86,-0.008600000000000052
1,"every update (K = 1,000)",0.87,-0.008380000000000054
1,"every update (K = 1,000)",0.88,-0.008199999999999985
1,"every update (K = 1,000)",0.89,-0.007000000000000006
1,"every update (K = 1,000)",0.9,-0.006179999999999963
1,"every update (K = 1,000)",0.91,-0.005979999999999985
1,"every update (K = 1,000)",0.92,-0.006120000000000014
