rep,n_paths,family,scenario,n_loss,upper_95,d_upper,d_lower
1,1000,Null,Null,501,0.0499001996007984,0.0056068615564813795,0.06619177448637124
1,1000,Underreaction,beta = 0.8,501,0.02594810379241517,0,0.1154554005293642
1,1000,Underreaction,beta = 0.9,501,0.03992015968063872,0,0.07488916458617911
1,1000,Overreaction,beta = 1.1,501,0.059880239520958084,0.01659889041660534,0.08883245362466276
1,1000,Overreaction,beta = 1.2,501,0.07385229540918163,0.041142217436204054,0.11084267416231568
1,1000,Predictable drift,delta = 0.25,501,0.059880239520958084,0.009984143403828916,0.06626729814552666
1,1000,Predictable drift,delta = 0.5,501,0.059880239520958084,0.014501974294208853,0.06645183419812592
1,1000,Predictable drift,delta = 1.0,501,0.0658682634730539,0.02750344837559393,0.06752306399456305
1,1000,Latency,eta = 0.5,501,0.0499001996007984,0.0033611779243664097,0.07258762070402673
1,1000,Latency,eta = 1.0,501,0.0499001996007984,0.005261836174328738,0.06785339006865751
1,1000,Smoothing,lambda = 0.3,501,0.04790419161676647,0.002840481891745239,0.07835786259022284
1,1000,Smoothing,lambda = 0.5,501,0.041916167664670656,0.001982219395295637,0.09496094294740628
1,1000,Smoothing,lambda = 0.8,501,0.03592814371257485,3.491743397757707e-4,0.14303968183142082
1,1000,Reporting artifact,round 0.01,501,0.0499001996007984,0.00554305913712827,0.06301935455686924
1,1000,Reporting artifact,round 0.05,501,0.043912175648702596,0.017964071856287456,0.07662146695983968
1,1000,Reporting artifact,coarsen m = 5,501,0.041916167664670656,0.0011551566563803295,0.12386684824093125
1,1000,Reporting artifact,coarsen m = 10,501,0.03792415169660679,4.5985300659634465e-4,0.16148048256369324
1,1000,Reporting artifact,coarsen m = 10 + round 0.05,501,0.033932135728542916,0.017964071856287456,0.1616766467065867
2,1000,Null,Null,514,0.03501945525291829,0,0.07525228352709229
2,1000,Underreaction,beta = 0.8,514,0.01556420233463035,0,0.1254979813027468
2,1000,Underreaction,beta = 0.9,514,0.019455252918287938,0,0.0894662759824878
2,1000,Overreaction,beta = 1.1,514,0.04085603112840467,0,0.08289971839750784
2,1000,Overreaction,beta = 1.2,514,0.058365758754863814,0.02248287610681088,0.10569721720529572
2,1000,Predictable drift,delta = 0.25,514,0.03696498054474708,0,0.07547208904696007
2,1000,Predictable drift,delta = 0.5,514,0.038910505836575876,0,0.07341204356156406
2,1000,Predictable drift,delta = 1.0,514,0.054474708171206226,0.016050634277006814,0.06895058027862666
2,1000,Latency,eta = 0.5,514,0.027237354085603113,0,0.08001828181031367
2,1000,Latency,eta = 1.0,514,0.029182879377431907,0,0.0805491595330447
2,1000,Smoothing,lambda = 0.3,514,0.02529182879377432,0,0.09436911991092245
2,1000,Smoothing,lambda = 0.5,514,0.02529182879377432,0,0.10795762566933131
2,1000,Smoothing,lambda = 0.8,514,0.017509727626459144,0,0.15818234550372645
2,1000,Reporting artifact,round 0.01,514,0.0311284046692607,0,0.07311394809916527
2,1000,Reporting artifact,round 0.05,514,0.0311284046692607,0.015564202334630295,0.07345688235136655
2,1000,Reporting artifact,coarsen m = 5,514,0.0311284046692607,0,0.11673151750972752
2,1000,Reporting artifact,coarsen m = 10,514,0.0311284046692607,0,0.1652383476502625
2,1000,Reporting artifact,coarsen m = 10 + round 0.05,514,0.02529182879377432,0.009727626459143934,0.17120622568093374
3,1000,Null,Null,469,0.04477611940298507,0.004630967284594889,0.06846014844892057
3,1000,Underreaction,beta = 0.8,469,0.021321961620469083,0,0.10766542163160131
3,1000,Underreaction,beta = 0.9,469,0.0255863539445629,0,0.0775713017448546
3,1000,Overreaction,beta = 1.1,469,0.06396588486140725,0.024328093022627173,0.07557638778007499
3,1000,Overreaction,beta = 1.2,469,0.07889125799573561,0.04790519916875802,0.0846083450253506
3,1000,Predictable drift,delta = 0.25,469,0.046908315565031986,0.01304921805813919,0.0690683223293983
3,1000,Predictable drift,delta = 0.5,469,0.057569296375266525,0.023717372320950614,0.06730407619631079
3,1000,Predictable drift,delta = 1.0,469,0.07462686567164178,0.03949000559783167,0.06732508392389752
3,1000,Latency,eta = 0.5,469,0.04477611940298507,5.278289152226279e-4,0.07052880484879617
3,1000,Latency,eta = 1.0,469,0.04477611940298507,4.0897708635490027e-4,0.06955048609433678
3,1000,Smoothing,lambda = 0.3,469,0.04477611940298507,2.4315324315493658e-4,0.08410453677924587
3,1000,Smoothing,lambda = 0.5,469,0.03837953091684435,0,0.0965568903321678
3,1000,Smoothing,lambda = 0.8,469,0.029850746268656716,0,0.1348108652962135
3,1000,Reporting artifact,round 0.01,469,0.042643923240938165,0.008144309616210932,0.07030247041552558
3,1000,Reporting artifact,round 0.05,469,0.04051172707889126,0.021321961620469065,0.07724208257419975
3,1000,Reporting artifact,coarsen m = 5,469,0.04051172707889126,0,0.10798947549381253
3,1000,Reporting artifact,coarsen m = 10,469,0.029850746268656716,0,0.14636900641065687
3,1000,Reporting artifact,coarsen m = 10 + round 0.05,469,0.031982942430703626,0.019189765458422214,0.14576093050522587
4,1000,Null,Null,491,0.038696537678207736,0.0030182823320271668,0.052269579849362424
4,1000,Underreaction,beta = 0.8,491,0.014256619144602852,0,0.1105415775591937
4,1000,Underreaction,beta = 0.9,491,0.024439918533604887,0,0.08056722915793735
4,1000,Overreaction,beta = 1.1,491,0.06109979633401222,0.03517369043738083,0.06357190506542117
4,1000,Overreaction,beta = 1.2,491,0.07942973523421588,0.05956972841257446,0.07283986388000113
4,1000,Predictable drift,delta = 0.25,491,0.054989816700611,0.016737261684011684,0.04413791997871167
4,1000,Predictable drift,delta = 0.5,491,0.059063136456211814,0.025109416734863332,0.04422834003468982
4,1000,Predictable drift,delta = 1.0,491,0.07331975560081466,0.04559106377508937,0.04237254486348114
4,1000,Latency,eta = 0.5,491,0.038696537678207736,0,0.05734056244652752
4,1000,Latency,eta = 1.0,491,0.038696537678207736,5.085824014899876e-4,0.05916062692118895
4,1000,Smoothing,lambda = 0.3,491,0.03665987780040733,0,0.0647448274667376
4,1000,Smoothing,lambda = 0.5,491,0.034623217922606926,0,0.07753385927537325
4,1000,Smoothing,lambda = 0.8,491,0.026476578411405296,0,0.12097977341012678
4,1000,Reporting artifact,round 0.01,491,0.04073319755600815,0.004830814308478759,0.04928815560345012
4,1000,Reporting artifact,round 0.05,491,0.038696537678207736,0.016293279022403295,0.05193946723607618
4,1000,Reporting artifact,coarsen m = 5,491,0.032586558044806514,0,0.10093177727348258
4,1000,Reporting artifact,coarsen m = 10,491,0.026476578411405296,0,0.1384928716904276
4,1000,Reporting artifact,coarsen m = 10 + round 0.05,491,0.028513238289205704,0.014256619144602856,0.147261831558739
5,1000,Null,Null,514,0.06614785992217899,0.020019723360827246,0.05004666708171829
5,1000,Underreaction,beta = 0.8,514,0.03501945525291829,0,0.07468362284752539
5,1000,Underreaction,beta = 0.9,514,0.048638132295719845,0.0036152560214813834,0.061845468165459216
5,1000,Overreaction,beta = 1.1,514,0.07392996108949416,0.037702655281894204,0.06809338521400767
5,1000,Overreaction,beta = 1.2,514,0.0914396887159533,0.06504340263945108,0.09338521400778199
5,1000,Predictable drift,delta = 0.25,514,0.07003891050583658,0.024707678165564184,0.051890830326686566
5,1000,Predictable drift,delta = 0.5,514,0.07392996108949416,0.03147461764508419,0.051789480372068264
5,1000,Predictable drift,delta = 1.0,514,0.08365758754863813,0.05506369990871329,0.05161850337892293
5,1000,Latency,eta = 0.5,514,0.06614785992217899,0.019809667919911567,0.057016240903830104
5,1000,Latency,eta = 1.0,514,0.06420233463035019,0.016480905996213435,0.053436259535552366
5,1000,Smoothing,lambda = 0.3,514,0.06420233463035019,0.016060644626570197,0.06761850279635728
5,1000,Smoothing,lambda = 0.5,514,0.06031128404669261,0.012365547383400455,0.08226962541598495
5,1000,Smoothing,lambda = 0.8,514,0.048638132295719845,0.005562251782191607,0.12844436322336406
5,1000,Reporting artifact,round 0.01,514,0.06420233463035019,0.015977452245556356,0.048638132295719734
5,1000,Reporting artifact,round 0.05,514,0.06031128404669261,0.03891050583657585,0.05642023346303491
5,1000,Reporting artifact,coarsen m = 5,514,0.0622568093385214,0.014418248555259638,0.09441720851056108
5,1000,Reporting artifact,coarsen m = 10,514,0.058365758754863814,0.010914083753566617,0.14301709210453617
5,1000,Reporting artifact,coarsen m = 10 + round 0.05,514,0.05058365758754864,0.029182879377431914,0.15442457422365186
6,1000,Null,Null,498,0.050200803212851405,0.02272609616066945,0.0372320941714174
6,1000,Underreaction,beta = 0.8,498,0.028112449799196786,0.001280634591007468,0.10094187238150043
6,1000,Underreaction,beta = 0.9,498,0.03815261044176707,0.004442557628719368,0.06529936902968148
6,1000,Overreaction,beta = 1.1,498,0.06827309236947791,0.046538041905781036,0.059435132001991464
6,1000,Overreaction,beta = 1.2,498,0.08634538152610442,0.06550861933181429,0.07870239861193079
6,1000,Predictable drift,delta = 0.25,498,0.05823293172690763,0.03156152609186891,0.040826266200523875
6,1000,Predictable drift,delta = 0.5,498,0.06224899598393574,0.03770081545688342,0.04147930969666405
6,1000,Predictable drift,delta = 1.0,498,0.0783132530120482,0.053275505782580335,0.04139416474973012
6,1000,Latency,eta = 0.5,498,0.04618473895582329,0.018882047969225657,0.048116550277197856
6,1000,Latency,eta = 1.0,498,0.04819277108433735,0.014991121895670423,0.04387854376883704
6,1000,Smoothing,lambda = 0.3,498,0.04618473895582329,0.015010599562350624,0.053446378650187906
6,1000,Smoothing,lambda = 0.5,498,0.04417670682730924,0.008274749382486957,0.06520421797439205
6,1000,Smoothing,lambda = 0.8,498,0.040160642570281124,0.004686854977939303,0.11758782962280068
6,1000,Reporting artifact,round 0.01,498,0.04819277108433735,0.02354728320971622,0.038352557068307674
6,1000,Reporting artifact,round 0.05,498,0.05220883534136546,0.032128514056224855,0.04468189420560107
6,1000,Reporting artifact,coarsen m = 5,498,0.04618473895582329,0.006735283870979769,0.08959896724460856
6,1000,Reporting artifact,coarsen m = 10,498,0.04417670682730924,0.004807372082273331,0.12969409106134805
6,1000,Reporting artifact,coarsen m = 10 + round 0.05,498,0.04216867469879518,0.026104417670682722,0.1263117494662775
7,1000,Null,Null,485,0.049484536082474224,0.006798997162587694,0.049128356635085246
7,1000,Underreaction,beta = 0.8,485,0.0288659793814433,0.0011463394156062678,0.11047616302943497
7,1000,Underreaction,beta = 0.9,485,0.03917525773195876,0.00233437804077552,0.0724322054944736
7,1000,Overreaction,beta = 1.1,485,0.06804123711340206,0.020277297743385936,0.06597938144329886
7,1000,Overreaction,beta = 1.2,485,0.07628865979381444,0.0440351438739951,0.08865979381443288
7,1000,Predictable drift,delta = 0.25,485,0.05567010309278351,0.01139376099097189,0.05034251073190771
7,1000,Predictable drift,delta = 0.5,485,0.06391752577319587,0.016614849611307214,0.04894998035856331
7,1000,Predictable drift,delta = 1.0,485,0.07010309278350516,0.029449815997226292,0.05078064294566438
7,1000,Latency,eta = 0.5,485,0.04742268041237113,0.006682775576422717,0.06101889680757927
7,1000,Latency,eta = 1.0,485,0.04536082474226804,0.005752184402052718,0.05917207513627354
7,1000,Smoothing,lambda = 0.3,485,0.04742268041237113,0.00618971329504181,0.07026013929160008
7,1000,Smoothing,lambda = 0.5,485,0.04329896907216495,0.00553125195225268,0.08489437375901021
7,1000,Smoothing,lambda = 0.8,485,0.03711340206185567,0.0026773209722763536,0.13857512115494752
7,1000,Reporting artifact,round 0.01,485,0.05154639175257732,0.009494211306948941,0.05173242969192787
7,1000,Reporting artifact,round 0.05,485,0.05154639175257732,0.030927835051546393,0.05285955506041492
7,1000,Reporting artifact,coarsen m = 5,485,0.041237113402061855,0.004841073338922475,0.10278160557016332
7,1000,Reporting artifact,coarsen m = 10,485,0.03917525773195876,0.0029789412189503706,0.14814243031243135
7,1000,Reporting artifact,coarsen m = 10 + round 0.05,485,0.04536082474226804,0.028865979381443307,0.15144361022750175
8,1000,Null,Null,501,0.031936127744510975,6.18149171506821e-4,0.05798167817566402
8,1000,Underreaction,beta = 0.8,501,0.015968063872255488,0,0.11304090412528911
8,1000,Underreaction,beta = 0.9,501,0.027944111776447105,0,0.08107357058048326
8,1000,Overreaction,beta = 1.1,501,0.04590818363273453,0.001287799014021318,0.07426586049038886
8,1000,Overreaction,beta = 1.2,501,0.059880239520958084,0.031007984380993836,0.09780439121756476
8,1000,Predictable drift,delta = 0.25,501,0.03792415169660679,7.763201310255763e-4,0.05563670787133431
8,1000,Predictable drift,delta = 0.5,501,0.041916167664670656,9.163338946052146e-4,0.05788423153692604
8,1000,Predictable drift,delta = 1.0,501,0.05389221556886228,0.008517401761378718,0.0558882235528941
8,1000,Latency,eta = 0.5,501,0.031936127744510975,6.008621914841417e-4,0.06262129330860466
8,1000,Latency,eta = 1.0,501,0.029940119760479042,5.79630033805234e-4,0.06249402611133914
8,1000,Smoothing,lambda = 0.3,501,0.029940119760479042,5.953244731218277e-4,0.068703111478437
8,1000,Smoothing,lambda = 0.5,501,0.029940119760479042,5.393059112182019e-4,0.08155912071762042
8,1000,Smoothing,lambda = 0.8,501,0.02594810379241517,1.9503308771051664e-4,0.133840913260384
8,1000,Reporting artifact,round 0.01,501,0.029940119760479042,0.003992015968063867,0.056659870386239763
8,1000,Reporting artifact,round 0.05,501,0.033932135728542916,0.013972055888223589,0.05967842094863711
