family,scenario,n_paths,mean_n_loss,mean_upper_95,rej_dupper,rej_dlower
Latency,eta = 0.5,1000,501.65833333333336,0.04458260103698034,0.03333333333333333,0.18333333333333332
Latency,eta = 0.5,5000,2503.61,0.0438511903084539,0.02,0.39
Latency,eta = 1.0,1000,501.65833333333336,0.04418484562847344,0.03333333333333333,0.15
Latency,eta = 1.0,5000,2503.61,0.04355533122740529,0.02,0.24
Null,Null,1000,501.65833333333336,0.04621777013988171,0.05,0.05
Null,Null,5000,2503.61,0.0453325252097727,0.05,0.05
Overreaction,beta = 1.1,1000,501.65833333333336,0.05988834006735112,0.475,0.14166666666666666
Overreaction,beta = 1.1,5000,2503.61,0.05919881937613258,1,0.97
Overreaction,beta = 1.2,1000,501.65833333333336,0.07507760085581593,0.9083333333333333,0.6916666666666667
Overreaction,beta = 1.2,5000,2503.61,0.07364714308953454,1,1
Predictable drift,delta = 0.25,1000,501.65833333333336,0.05179518834199468,0.14166666666666666,0.058333333333333334
Predictable drift,delta = 0.25,5000,2503.61,0.05083851381663562,0.45,0.06
Predictable drift,delta = 0.5,1000,501.65833333333336,0.05778248597055949,0.3,0.058333333333333334
Predictable drift,delta = 0.5,5000,2503.61,0.056738389104835696,0.95,0.07
Predictable drift,delta = 1.0,1000,501.65833333333336,0.07016536580765885,0.75,0.041666666666666664
Predictable drift,delta = 1.0,5000,2503.61,0.06960740994248973,1,0.09
Reporting artifact,coarsen m = 10,1000,501.65833333333336,0.037306705155602284,0,1
Reporting artifact,coarsen m = 10,5000,2503.61,0.037057036585897436,0,1
Reporting artifact,coarsen m = 10 + round 0.05,1000,501.65833333333336,0.03696215516070316,0,1
Reporting artifact,coarsen m = 10 + round 0.05,5000,2503.61,0.036479193918618764,1,1
Reporting artifact,coarsen m = 5,1000,501.65833333333336,0.041034563181265665,0,0.9833333333333333
Reporting artifact,coarsen m = 5,5000,2503.61,0.04043471960085143,0,1
Reporting artifact,round 0.01,1000,501.65833333333336,0.04590784488299073,0.058333333333333334,0.05
Reporting artifact,round 0.01,5000,2503.61,0.045134743144483985,0.08,0.05
Reporting artifact,round 0.05,1000,501.65833333333336,0.04533725846993244,0.10833333333333334,0.11666666666666667
Reporting artifact,round 0.05,5000,2503.61,0.04470973676150705,1,0.68
Smoothing,lambda = 0.3,1000,501.65833333333336,0.04332943873955592,0.025,0.4
Smoothing,lambda = 0.3,5000,2503.61,0.042735353744408504,0.02,0.84
Smoothing,lambda = 0.5,1000,501.65833333333336,0.040711387373133394,0,0.7333333333333333
Smoothing,lambda = 0.5,5000,2503.61,0.0405644456773225,0,1
Smoothing,lambda = 0.8,1000,501.65833333333336,0.03396464237143205,0,1
Smoothing,lambda = 0.8,5000,2503.61,0.03401004342050423,0,1
Underreaction,beta = 0.8,1000,501.65833333333336,0.02237940382132224,0,0.9083333333333333
Underreaction,beta = 0.8,5000,2503.61,0.02238443187316698,0,1
Underreaction,beta = 0.9,1000,501.65833333333336,0.0330757532413718,0,0.4
Underreaction,beta = 0.9,5000,2503.61,0.033304216327080076,0,0.68
