league,analysis,sample,estimand,threshold,estimate,ci_lower,ci_upper,p_value,n,n_games,replicates,seed,note
nba,global,corrected,D_upper,,0.09675639586797852,,,1e-4,8276,,9999,20260815,Season-stratified dyadic pigeonhole bootstrap
nba,global,corrected,dyadic_critical_value_95,,0.022758948193656425,,,,8276,,9999,20260815,
nba,tail,corrected,tail_rate,0.9,0.12699371677138716,,,,8276,,9999,20260815,
nba,tail,corrected,tail_excess,0.9,0.026993716771387177,0.014415475629688354,0.03987416421734994,,8276,,9999,20260815,Two-sided 95% percentile dyadic-bootstrap interval
nba,tail,corrected,tail_rate,0.95,0.06319478008699855,,,,8276,,9999,20260815,
nba,tail,corrected,tail_excess,0.95,0.013194780086998509,0.004272691833311505,0.022875196170874103,,8276,,9999,20260815,Two-sided 95% percentile dyadic-bootstrap interval
nba,tail,corrected,tail_rate,0.99,0.010512324794586757,,,,8276,,9999,20260815,
nba,tail,corrected,tail_excess,0.99,5.123247945867486e-4,-0.0029035878180110235,0.0046129773089634216,,8276,,9999,20260815,Two-sided 95% percentile dyadic-bootstrap interval
nba,global,raw,D_upper,,0.09675639586797852,,,1e-4,8276,,9999,20260815,Season-stratified dyadic pigeonhole bootstrap
nba,global,raw,dyadic_critical_value_95,,0.022797500570809915,,,,8276,,9999,20260815,
nba,tail,raw,tail_rate,0.9,0.12759787336877718,,,,8276,,9999,20260815,
nba,tail,raw,tail_excess,0.9,0.027597873368777198,0.015011228599754046,0.04052435265513447,,8276,,9999,20260815,Two-sided 95% percentile dyadic-bootstrap interval
nba,tail,raw,tail_rate,0.95,0.06416143064282262,,,,8276,,9999,20260815,
nba,tail,raw,tail_excess,0.95,0.014161430642822576,0.0052838863425536025,0.023811294090288475,,8276,,9999,20260815,Two-sided 95% percentile dyadic-bootstrap interval
nba,tail,raw,tail_rate,0.99,0.01208313194780087,,,,8276,,9999,20260815,
nba,tail,raw,tail_excess,0.99,0.0020831319478008606,-0.0015741765988343483,0.006239486426601138,,8276,,9999,20260815,Two-sided 95% percentile dyadic-bootstrap interval
nba,global,exclude_patched,D_upper,,0.09600484261501213,,,1e-4,8260,,9999,20260815,Season-stratified dyadic pigeonhole bootstrap
nba,global,exclude_patched,dyadic_critical_value_95,,0.02278657550112181,,,,8260,,9999,20260815,
nba,tail,exclude_patched,tail_rate,0.9,0.12590799031476999,,,,8260,,9999,20260815,
nba,tail,exclude_patched,tail_excess,0.9,0.025907990314770007,0.013259037795191348,0.03890741696929627,,8260,,9999,20260815,Two-sided 95% percentile dyadic-bootstrap interval
nba,tail,exclude_patched,tail_rate,0.95,0.06234866828087167,,,,8260,,9999,20260815,
nba,tail,exclude_patched,tail_excess,0.95,0.012348668280871625,0.003465803727135923,0.02207497222556212,,8260,,9999,20260815,Two-sided 95% percentile dyadic-bootstrap interval
nba,tail,exclude_patched,tail_rate,0.99,0.010169491525423728,,,,8260,,9999,20260815,
nba,tail,exclude_patched,tail_excess,0.99,1.694915254237192e-4,-0.0032335455954744905,0.004228346904027648,,8260,,9999,20260815,Two-sided 95% percentile dyadic-bootstrap interval
nba,global,rounding_lower,D_upper,,0.09522708043316791,,,1e-4,8276,,9999,20260815,Season-stratified dyadic pigeonhole bootstrap
nba,global,rounding_lower,dyadic_critical_value_95,,0.022776872525191016,,,,8276,,9999,20260815,
nba,tail,rounding_lower,tail_rate,0.9,0.12699371677138716,,,,8276,,9999,20260815,
nba,tail,rounding_lower,tail_excess,0.9,0.026993716771387177,0.014415475629688354,0.03987416421734994,,8276,,9999,20260815,Two-sided 95% percentile dyadic-bootstrap interval
nba,tail,rounding_lower,tail_rate,0.95,0.06319478008699855,,,,8276,,9999,20260815,
nba,tail,rounding_lower,tail_excess,0.95,0.013194780086998509,0.004272691833311505,0.022875196170874103,,8276,,9999,20260815,Two-sided 95% percentile dyadic-bootstrap interval
nba,tail,rounding_lower,tail_rate,0.99,0.010512324794586757,,,,8276,,9999,20260815,
nba,tail,rounding_lower,tail_excess,0.99,5.123247945867486e-4,-0.0029035878180110235,0.0046129773089634216,,8276,,9999,20260815,Two-sided 95% percentile dyadic-bootstrap interval
nba,global,rounding_upper,D_upper,,0.09862540155230509,,,1e-4,8276,,9999,20260815,Season-stratified dyadic pigeonhole bootstrap
nba,global,rounding_upper,dyadic_critical_value_95,,0.022744556601448876,,,,8276,,9999,20260815,
nba,tail,rounding_upper,tail_rate,0.9,0.12820202996616722,,,,8276,,9999,20260815,
nba,tail,rounding_upper,tail_excess,0.9,0.028202029966167247,0.01571010720886636,0.04123397823763952,,8276,,9999,20260815,Two-sided 95% percentile dyadic-bootstrap interval
nba,tail,rounding_upper,tail_rate,0.95,0.06573223779603674,,,,8276,,9999,20260815,
nba,tail,rounding_upper,tail_excess,0.95,0.01573223779603669,0.006597967571512903,0.025583274169343893,,8276,,9999,20260815,Two-sided 95% percentile dyadic-bootstrap interval
nba,tail,rounding_upper,tail_rate,0.99,0.011720637989366844,,,,8276,,9999,20260815,
nba,tail,rounding_upper,tail_excess,0.99,0.0017206379893668355,-0.0019214827233959395,0.005926902365300326,,8276,,9999,20260815,Two-sided 95% percentile dyadic-bootstrap interval
nba,global,dyadic_calendar,D_upper,,0.09675639586797852,,,1e-4,8276,,9999,20260815,Season-stratified dyadic pigeonhole bootstrap
nba,global,dyadic_calendar,dyadic_critical_value_95,,0.033807752610230966,,,,8276,,9999,20260815,
nba,tail,dyadic_calendar,tail_rate,0.95,0.06319478008699855,,,,8276,,9999,20260815,
nba,tail,dyadic_calendar,tail_excess,0.95,0.013194780086998509,6.564799460325791e-4,0.02728668074642262,,8276,,9999,20260815,Two-sided 95% percentile dyadic-bootstrap interval
nba,global,franchise_linked,D_upper,,0.09675639586797852,,,1e-4,8276,,9999,20260815,Season-stratified dyadic pigeonhole bootstrap
nba,global,franchise_linked,dyadic_critical_value_95,,0.02288354840389735,,,,8276,,9999,20260815,
nba,tail,franchise_linked,tail_rate,0.95,0.06319478008699855,,,,8276,,9999,20260815,
nba,tail,franchise_linked,tail_excess,0.95,0.013194780086998509,0.004195251080383105,0.022523924885938587,,8276,,9999,20260815,Two-sided 95% percentile dyadic-bootstrap interval
nba,boundary,weak,tail_rate,0.9,0.12699371677138716,,,,8276,,9999,20260815,
nba,boundary,strict,tail_rate,0.9,0.12699371677138716,,,,8276,,9999,20260815,
nba,boundary,atom,tail_rate,0.9,0,,,,8276,,9999,20260815,
nba,boundary,weak,tail_rate,0.95,0.06319478008699855,,,,8276,,9999,20260815,
nba,boundary,strict,tail_rate,0.95,0.06319478008699855,,,,8276,,9999,20260815,
nba,boundary,atom,tail_rate,0.95,0,,,,8276,,9999,20260815,
nba,boundary,weak,tail_rate,0.99,0.010512324794586757,,,,8276,,9999,20260815,
nba,boundary,strict,tail_rate,0.99,0.010512324794586757,,,,8276,,9999,20260815,
nba,boundary,atom,tail_rate,0.99,0,,,,8276,,9999,20260815,
nba,first_crossing,preterminal_strict,observed_loss,0.9,0.12413203717551544,0.11369751208079584,0.13415379945326988,,9361,8249,9999,20260815,
nba,first_crossing,preterminal_strict,implied_loss,0.9,0.08704369191325798,0.08657916454369749,0.08749125864466249,,9361,8249,9999,20260815,
nba,first_crossing,preterminal_strict,residual,0.9,0.037088345262257905,0.026528414857395356,0.04722797505973658,,9361,8249,9999,20260815,Boundary: strict ; each row from the same game receives the same game weight
nba,first_crossing,preterminal_strict,observed_loss,0.95,0.0643633002079963,0.05591385031668037,0.0731119890556753,,8654,8154,9999,20260815,
nba,first_crossing,preterminal_strict,implied_loss,0.95,0.04115946383175389,0.04083639375962586,0.04147607873978178,,8654,8154,9999,20260815,
nba,first_crossing,preterminal_strict,residual,0.95,0.023203836376241904,0.014678789971613024,0.031996433437608676,,8654,8154,9999,20260815,Boundary: strict ; each row from the same game receives the same game weight
nba,first_crossing,preterminal_strict,observed_loss,0.99,0.011306863002892454,0.007593038133726626,0.015673792229648712,,7606,7555,9999,20260815,
nba,first_crossing,preterminal_strict,implied_loss,0.99,0.006997633447278704,0.00690951386260596,0.007085189053984003,,7606,7555,9999,20260815,
nba,first_crossing,preterminal_strict,residual,0.99,0.004309229555613949,6.034620152579391e-4,0.008689062240788385,,7606,7555,9999,20260815,Boundary: strict ; each row from the same game receives the same game weight
nba,first_crossing,preterminal,observed_loss,0.9,0.12506669512325258,0.11458075029588068,0.1350684894136707,,9371,8250,9999,20260815,
nba,first_crossing,preterminal,implied_loss,0.9,0.08788912602710708,0.08741072788879285,0.08834557844358151,,9371,8250,9999,20260815,
nba,first_crossing,preterminal,residual,0.9,0.03717756909614715,0.026575586998473885,0.04723774402312274,,9371,8250,9999,20260815,Boundary: weak ; each row from the same game receives the same game weight
nba,first_crossing,preterminal,observed_loss,0.95,0.06510446727461619,0.05660655560680009,0.073878643231791,,8663,8156,9999,20260815,
nba,first_crossing,preterminal,implied_loss,0.95,0.042060256262265325,0.04173179402762056,0.04238524059635653,,8663,8156,9999,20260815,
nba,first_crossing,preterminal,residual,0.95,0.023044211012350827,0.01445535166861268,0.03183537914305524,,8663,8156,9999,20260815,Boundary: weak ; each row from the same game receives the same game weight
nba,first_crossing,preterminal,observed_loss,0.99,0.012532637075718016,0.00865991259010527,0.017000754950840805,,7660,7598,9999,20260815,
nba,first_crossing,preterminal,implied_loss,0.99,0.007794125326370787,0.0077006982976146506,0.007888137657923643,,7660,7598,9999,20260815,
nba,first_crossing,preterminal,residual,0.99,0.004738511749347092,8.715110076420704e-4,0.009192553752445203,,7660,7598,9999,20260815,Boundary: weak ; each row from the same game receives the same game weight
nba,first_crossing,all_updates_strict,observed_loss,0.9,0.12323682256867112,0.11296265828092752,0.1331767067929548,,9429,8269,9999,20260815,
nba,first_crossing,all_updates_strict,implied_loss,0.9,0.08642538975501195,0.08590638798327786,0.08692864941362913,,9429,8269,9999,20260815,
nba,first_crossing,all_updates_strict,residual,0.9,0.03681143281365959,0.026323070388551507,0.046871830635562765,,9429,8269,9999,20260815,Boundary: strict ; each row from the same game receives the same game weight
nba,first_crossing,all_updates_strict,observed_loss,0.95,0.06313761051915666,0.054866284282100046,0.07170349896597385,,8822,8266,9999,20260815,
nba,first_crossing,all_updates_strict,implied_loss,0.95,0.040399795964633646,0.0400184547279081,0.04077326335889616,,8822,8266,9999,20260815,
nba,first_crossing,all_updates_strict,residual,0.95,0.022737814554522506,0.014388823961975163,0.03137096799080311,,8822,8266,9999,20260815,Boundary: strict ; each row from the same game receives the same game weight
nba,first_crossing,all_updates_strict,observed_loss,0.99,0.010416666666666666,0.00704553444903108,0.014375799334140026,,8352,8265,9999,20260815,
nba,first_crossing,all_updates_strict,implied_loss,0.99,0.0064100814176247375,0.006299073241080133,0.006520963945828734,,8352,8265,9999,20260815,
nba,first_crossing,all_updates_strict,residual,0.99,0.004006585249042103,6.250657663045608e-4,0.007981691991563433,,8352,8265,9999,20260815,Boundary: strict ; each row from the same game receives the same game weight
nba,first_crossing,all_updates,observed_loss,0.9,0.12416569551859308,0.11380973631288738,0.13411141631453358,,9439,8269,9999,20260815,
nba,first_crossing,all_updates,implied_loss,0.9,0.0872653882826592,0.0867324284955624,0.08778210963334115,,9439,8269,9999,20260815,
nba,first_crossing,all_updates,residual,0.9,0.03690030723593549,0.026394079076339783,0.04687830447318174,,9439,8269,9999,20260815,Boundary: weak ; each row from the same game receives the same game weight
nba,first_crossing,all_updates,observed_loss,0.95,0.06388039415562351,0.05552601482501335,0.07248387115558635,,8829,8266,9999,20260815,
nba,first_crossing,all_updates,implied_loss,0.95,0.04129357798165188,0.04090726600446672,0.04167273457470836,,8829,8266,9999,20260815,
nba,first_crossing,all_updates,residual,0.95,0.022586816173971604,0.014148654934198066,0.031192582888410307,,8829,8266,9999,20260815,Boundary: weak ; each row from the same game receives the same game weight
nba,first_crossing,all_updates,observed_loss,0.99,0.011600095670892131,0.008014806788019233,0.015657071161687828,,8362,8265,9999,20260815,
nba,first_crossing,all_updates,implied_loss,0.99,0.0071785458024396336,0.0070634073060275564,0.007294091262908681,,8362,8265,9999,20260815,
nba,first_crossing,all_updates,residual,0.99,0.004421549868452396,8.251761600586605e-4,0.008517001971708897,,8362,8265,9999,20260815,Boundary: weak ; each row from the same game receives the same game weight
nba,fixed_clock,linear,gap_t00_bin01,0,-0.00421818181818182,-0.11621113966983765,0.10777477603347402,,825,825,9999,20260815,One game per fixed time; simultaneous dyadic-bootstrap band
nba,fixed_clock,linear,gap_t00_bin02,0,-0.007063882063882041,-0.1278026926926786,0.11367492856491453,,814,814,9999,20260815,One game per fixed time; simultaneous dyadic-bootstrap band
nba,fixed_clock,linear,gap_t00_bin03,0,0.009178016726403823,-0.11486824468775829,0.13322427814056592,,837,837,9999,20260815,One game per fixed time; simultaneous dyadic-bootstrap band
nba,fixed_clock,linear,gap_t00_bin04,0,-0.001347037484885112,-0.13088852104392013,0.12819444607414993,,827,827,9999,20260815,One game per fixed time; simultaneous dyadic-bootstrap band
nba,fixed_clock,linear,gap_t00_bin05,0,-0.01814215686274508,-0.1423916063606445,0.10610729263515432,,816,816,9999,20260815,One game per fixed time; simultaneous dyadic-bootstrap band
nba,fixed_clock,linear,gap_t00_bin06,0,-0.0032026699029126023,-0.1349829873577643,0.1285776475519391,,824,824,9999,20260815,One game per fixed time; simultaneous dyadic-bootstrap band
nba,fixed_clock,linear,gap_t00_bin07,0,-0.029836710369487488,-0.1534455182234246,0.09377209748444962,,839,839,9999,20260815,One game per fixed time; simultaneous dyadic-bootstrap band
nba,fixed_clock,linear,gap_t00_bin08,0,-0.018413202933985306,-0.1366910998317371,0.0998646939637665,,818,818,9999,20260815,One game per fixed time; simultaneous dyadic-bootstrap band
nba,fixed_clock,linear,gap_t00_bin09,0,-0.028846803377563342,-0.14352818747529933,0.08583458072017264,,829,829,9999,20260815,One game per fixed time; simultaneous dyadic-bootstrap band
nba,fixed_clock,linear,gap_t00_bin10,0,-0.03912559808612438,-0.13301376058276823,0.054762564410519465,,836,836,9999,20260815,One game per fixed time; simultaneous dyadic-bootstrap band
nba,fixed_clock,linear,gap_t01_bin01,0.05,0.019603504011482052,-0.09069112079148497,0.1298981288144491,,826,826,9999,20260815,One game per fixed time; simultaneous dyadic-bootstrap band
nba,fixed_clock,linear,gap_t01_bin02,0.05,0.024695834814062095,-0.09989839979391918,0.14929006942204337,,826,826,9999,20260815,One game per fixed time; simultaneous dyadic-bootstrap band
nba,fixed_clock,linear,gap_t01_bin03,0.05,-0.002472847846988726,-0.13225275153946164,0.12730705584548418,,827,827,9999,20260815,One game per fixed time; simultaneous dyadic-bootstrap band
nba,fixed_clock,linear,gap_t01_bin04,0.05,-0.027447018444302244,-0.16247898253358595,0.10758494564498144,,825,825,9999,20260815,One game per fixed time; simultaneous dyadic-bootstrap band
nba,fixed_clock,linear,gap_t01_bin05,0.05,-0.01221951647574156,-0.144299682570555,0.11986064961907188,,828,828,9999,20260815,One game per fixed time; simultaneous dyadic-bootstrap band
nba,fixed_clock,linear,gap_t01_bin06,0.05,-0.026191993379179473,-0.15191423676253596,0.09953025000417702,,826,826,9999,20260815,One game per fixed time; simultaneous dyadic-bootstrap band
nba,fixed_clock,linear,gap_t01_bin07,0.05,-0.03936076918925323,-0.15919086843149077,0.08046933005298433,,827,827,9999,20260815,One game per fixed time; simultaneous dyadic-bootstrap band
nba,fixed_clock,linear,gap_t01_bin08,0.05,-0.007361402228917751,-0.12143008694669881,0.10670728248886331,,825,825,9999,20260815,One game per fixed time; simultaneous dyadic-bootstrap band
nba,fixed_clock,linear,gap_t01_bin09,0.05,-0.004725302532314211,-0.10974243533552785,0.10029183027089944,,828,828,9999,20260815,One game per fixed time; simultaneous dyadic-bootstrap band
nba,fixed_clock,linear,gap_t01_bin10,0.05,-0.04736595874454359,-0.1416990744607342,0.04696715697164704,,827,827,9999,20260815,One game per fixed time; simultaneous dyadic-bootstrap band
nba,fixed_clock,linear,gap_t02_bin01,0.1,0.03187370745087174,-0.07925292785679439,0.14300034275853785,,826,826,9999,20260815,One game per fixed time; simultaneous dyadic-bootstrap band
nba,fixed_clock,linear,gap_t02_bin02,0.1,0.03822460786582608,-0.08106620199404915,0.1575154177257013,,826,826,9999,20260815,One game per fixed time; simultaneous dyadic-bootstrap band
