league,sample,boundary,threshold,n,n_games,observed_loss,implied_loss,residual,loss_ci_lower,loss_ci_upper,implied_ci_lower,implied_ci_upper,residual_ci_lower,residual_ci_upper
nba,preterminal,strict,0.9,9361,8249,0.12413203717551544,0.08704369191325798,0.037088345262257905,0.11369751208079584,0.13415379945326988,0.08657916454369749,0.08749125864466249,0.026528414857395356,0.04722797505973658
nba,preterminal,strict,0.95,8654,8154,0.0643633002079963,0.04115946383175389,0.023203836376241904,0.05591385031668037,0.0731119890556753,0.04083639375962586,0.04147607873978178,0.014678789971613024,0.031996433437608676
nba,preterminal,strict,0.99,7606,7555,0.011306863002892454,0.006997633447278704,0.004309229555613949,0.007593038133726626,0.015673792229648712,0.00690951386260596,0.007085189053984003,6.034620152579391e-4,0.008689062240788385
nba,preterminal,weak,0.9,9371,8250,0.12506669512325258,0.08788912602710708,0.03717756909614715,0.11458075029588068,0.1350684894136707,0.08741072788879285,0.08834557844358151,0.026575586998473885,0.04723774402312274
nba,preterminal,weak,0.95,8663,8156,0.06510446727461619,0.042060256262265325,0.023044211012350827,0.05660655560680009,0.073878643231791,0.04173179402762056,0.04238524059635653,0.01445535166861268,0.03183537914305524
nba,preterminal,weak,0.99,7660,7598,0.012532637075718016,0.007794125326370787,0.004738511749347092,0.00865991259010527,0.017000754950840805,0.0077006982976146506,0.007888137657923643,8.715110076420704e-4,0.009192553752445203
nba,all_updates,strict,0.9,9429,8269,0.12323682256867112,0.08642538975501195,0.03681143281365959,0.11296265828092752,0.1331767067929548,0.08590638798327786,0.08692864941362913,0.026323070388551507,0.046871830635562765
nba,all_updates,strict,0.95,8822,8266,0.06313761051915666,0.040399795964633646,0.022737814554522506,0.054866284282100046,0.07170349896597385,0.0400184547279081,0.04077326335889616,0.014388823961975163,0.03137096799080311
nba,all_updates,strict,0.99,8352,8265,0.010416666666666666,0.0064100814176247375,0.004006585249042103,0.00704553444903108,0.014375799334140026,0.006299073241080133,0.006520963945828734,6.250657663045608e-4,0.007981691991563433
nba,all_updates,weak,0.9,9439,8269,0.12416569551859308,0.0872653882826592,0.03690030723593549,0.11380973631288738,0.13411141631453358,0.0867324284955624,0.08778210963334115,0.026394079076339783,0.04687830447318174
nba,all_updates,weak,0.95,8829,8266,0.06388039415562351,0.04129357798165188,0.022586816173971604,0.05552601482501335,0.07248387115558635,0.04090726600446672,0.04167273457470836,0.014148654934198066,0.031192582888410307
nba,all_updates,weak,0.99,8362,8265,0.011600095670892131,0.0071785458024396336,0.004421549868452396,0.008014806788019233,0.015657071161687828,0.0070634073060275564,0.007294091262908681,8.251761600586605e-4,0.008517001971708897
nfl,preterminal,strict,0.9,1970,1817,0.08375634517766498,0.07515690355329947,0.00859944162436548,0.06526273794369478,0.10186948402057462,0.07322757771225749,0.07703134748482143,-0.010418904752288533,0.02724997072226868
nfl,preterminal,strict,0.95,1841,1771,0.04617055947854427,0.033126507332971164,0.013044052145573016,0.031611441484749654,0.061684462839633955,0.03190571342543032,0.03431409890005717,-0.001779936030766543,0.028831033052300496
nfl,preterminal,strict,0.99,1702,1683,0.01645123384253819,0.004776968272620444,0.011674265569917701,0.007565453684405399,0.027195240964884033,0.004513905021906932,0.005046046077973078,0.002758217537704113,0.02242225418485254
nfl,preterminal,weak,0.9,1974,1818,0.0851063829787234,0.07569609929078014,0.00941028368794326,0.06673182750022728,0.10305038092530501,0.07377127011522387,0.07755282036958056,-0.009466426925629138,0.028004136701076352
nfl,preterminal,weak,0.95,1842,1772,0.046145494028230184,0.03344847991313784,0.012697014115092248,0.031565966718401686,0.06166652888804553,0.03221939896915267,0.034636121044647784,-0.0021529697273844576,0.028514968030552718
nfl,preterminal,weak,0.99,1705,1686,0.016422287390029325,0.005018533724340162,0.011403753665689104,0.007560881929438601,0.027142839892648603,0.004740730329363978,0.005301388373844144,0.002449799650057548,0.022100378275989242
nfl,all_updates,strict,0.9,2012,1847,0.08200795228628231,0.07358802186878727,0.008419930417495027,0.06392459056790022,0.09970555260556621,0.07156448220676997,0.07553729205480582,-0.010242917512095509,0.02661289084261126
nfl,all_updates,strict,0.95,1932,1847,0.04399585921325052,0.03157810559006206,0.012417753623188367,0.03010137197047097,0.05827942866316111,0.030296469958743112,0.03280054506853641,-0.0016905098910022006,0.027201490157472398
nfl,all_updates,strict,0.99,1874,1846,0.014941302027748132,0.004339594450373531,0.010601707577374556,0.006821365806892977,0.024467873193830897,0.004083145878451446,0.004601324796173749,0.002487638382612669,0.020145506156884707
nfl,all_updates,weak,0.9,2015,1847,0.08337468982630274,0.07415588089330023,0.009218808933002478,0.06540060296937927,0.10069069549233636,0.07210901091520419,0.0761076496841137,-0.009354124333944624,0.027210469828682703
nfl,all_updates,weak,0.95,1932,1847,0.04399585921325052,0.031902225672877794,0.012093633540372632,0.03010137197047097,0.05827942866316111,0.03061996228515805,0.033140240170101136,-0.0021251235674723855,0.026902170608254443
nfl,all_updates,weak,0.99,1874,1846,0.014941302027748132,0.00456702241195303,0.010374279615795044,0.006821365806892977,0.024467873193830897,0.004294372930441483,0.004846682583976517,0.002261874558321573,0.01990860519025681
