league,omitted_season,n,D_upper,tail_rate_95,tail_excess_95
nba,2018,7054,0.0933643132063573,0.06450240998015311,0.014502409980153105
nba,2019,7046,0.09706304995742243,0.06244677831393699,0.012446778313936986
nba,2020,7223,0.09435401965519402,0.06285476948636301,0.012854769486363007
nba,2021,7196,0.10036555148340415,0.06309060589216231,0.013090605892162308
nba,2022,7046,0.10165234519478039,0.06258870281010502,0.012588702810105018
nba,2023,7046,0.093351506809698,0.06230485381776895,0.012304853817768947
nba,2024,7045,0.10073894710474668,0.06458481192334989,0.014584811923349886
nfl,2018,1594,0.016512850546582303,0.04328732747804266,-0.006712672521957341
nfl,2019,1593,0.012608219470823079,0.047080979284369114,-0.0029190207156308892
nfl,2020,1593,0.014464691475911395,0.03954802259887006,-0.010451977401129943
nfl,2021,1577,0.012977356250319594,0.046924540266328474,-0.003075459733671529
nfl,2022,1579,0.007865370119961468,0.04179860671310956,-0.008201393286890443
nfl,2023,1576,0.024201900218894123,0.04568527918781726,-0.004314720812182746
nfl,2024,1576,0.0254009485623945,0.05012690355329949,1.2690355329948722e-4
