key,value,formatted,source,league,analysis,sample,estimand
ChicagoClock,04:21:00,4:21,/Users/Jonathan/research/max-wp-loser/results/figures/manuscript/figures/case_studies/case_study_games.csv,nba,case_study,chicago,clock
ChicagoDate,2019-11-05,"November 5, 2019",/Users/Jonathan/research/max-wp-loser/results/figures/manuscript/figures/case_studies/case_study_games.csv,nba,case_study,chicago,game_date
ChicagoFinalAwayScore,118,118,/Users/Jonathan/research/max-wp-loser/results/figures/manuscript/figures/case_studies/case_study_games.csv,nba,case_study,chicago,away_final
ChicagoFinalHomeScore,112,112,/Users/Jonathan/research/max-wp-loser/results/figures/manuscript/figures/case_studies/case_study_games.csv,nba,case_study,chicago,home_final
ChicagoGameID,401160742,401160742,/Users/Jonathan/research/max-wp-loser/results/figures/manuscript/figures/case_studies/case_study_games.csv,nba,case_study,chicago,game_id
ChicagoLoser,Chicago Bulls,Chicago Bulls,/Users/Jonathan/research/max-wp-loser/results/figures/manuscript/figures/case_studies/case_study_games.csv,nba,case_study,chicago,loser
ChicagoMaxWP,0.969,96.9\%,/Users/Jonathan/research/max-wp-loser/results/figures/manuscript/figures/case_studies/case_study_games.csv,nba,case_study,chicago,max_wp_loser
ChicagoMinutesRemaining,16.35,16.4,/Users/Jonathan/research/max-wp-loser/results/figures/manuscript/figures/case_studies/case_study_games.csv,nba,case_study,chicago,minutes_remaining
ChicagoPIT,0.968008255933952,0.968,/Users/Jonathan/research/max-wp-loser/results/figures/manuscript/figures/case_studies/case_study_games.csv,nba,case_study,chicago,pit_u
ChicagoPeakAwayScore,67,67,/Users/Jonathan/research/max-wp-loser/results/figures/manuscript/figures/case_studies/case_study_games.csv,nba,case_study,chicago,away_score
ChicagoPeakHomeScore,85,85,/Users/Jonathan/research/max-wp-loser/results/figures/manuscript/figures/case_studies/case_study_games.csv,nba,case_study,chicago,home_score
ChicagoPeakLead,18,18,/Users/Jonathan/research/max-wp-loser/results/figures/manuscript/figures/case_studies/case_study_games.csv,nba,case_study,chicago,lead
ChicagoPeriod,3,3,/Users/Jonathan/research/max-wp-loser/results/figures/manuscript/figures/case_studies/case_study_games.csv,nba,case_study,chicago,period
ChicagoSeason,2020,2020,/Users/Jonathan/research/max-wp-loser/results/figures/manuscript/figures/case_studies/case_study_games.csv,nba,case_study,chicago,season
ChicagoStartingWP,0.712,71.2\%,/Users/Jonathan/research/max-wp-loser/results/figures/manuscript/figures/case_studies/case_study_games.csv,nba,case_study,chicago,starting_wp_favored
